title,review_point,review_total,sub_category,address,metadata,coordinate,regency,link,contact_number,open_hours,check_in,site,amenities,check_out
RISKI BAROKAH,4.5,12 reviews,Lodge,"6G93+XJ7, Tamanjaya, Sumur, Pandeglang Regency, Banten 42283 ",,"-6.780082, 105.5040519", Pandeglang ,https://www.google.com/maps/place/RISKI+BAROKAH/data=!4m7!3m6!1s0x2e43a6cb87103fe9:0xc21e3e44a72a549e!8m2!3d-6.780082!4d105.5040519!16s%2Fg%2F11hcfr_43x!19sChIJ6T8Qh8umQy4RnlQqp0Q-HsI?authuser=0&hl=en&rclk=1,,,,,,
Villa Yaputra,4.3,16 reviews,,"8XF5+Q22, North Tugu, Cisarua, Bogor Regency, West Java 16750 ",,"-6.675603, 106.9575094", Bogor ,https://www.google.com/maps/place/Villa+Yaputra/data=!4m10!3m9!1s0x2e69b7ddf16c7dad:0xe35a60fdee661b63!5m2!4m1!1i2!8m2!3d-6.675603!4d106.9575094!16s%2Fg%2F11h5833zcc!19sChIJrX1s8d23aS4RYxtm7v1gWuM?authuser=0&hl=en&rclk=1,,,,, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Fitness center unavailable ,
Villa BaBa,4.8,103 reviews,,"Jl. Taman Safari No.101, Cibeureum, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750 ",,"-6.7107024, 106.9484362",  Bogor,https://www.google.com/maps/place/Villa+BaBa./data=!4m10!3m9!1s0x2e69b51ad17a4dc9:0xbed92afcaebd61fe!5m2!4m1!1i2!8m2!3d-6.7107024!4d106.9484362!16s%2Fg%2F11k0mhnhk8!19sChIJyU160Rq1aS4R_mG9rvwq2b4?authuser=0&hl=en&rclk=1,phone:tel:089637067654,,,http://www.thevillas100.com/, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned unavailable  |  Fitness center unavailable ,
Pinus Villa Dago,4.8,19 reviews,,"no 41, Jl. Dago Pakar Permai II, Mekarsaluyu, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40135 ",,"-6.8653744, 107.636997",  Bandung,https://www.google.com/maps/place/Pinus+Villa+Dago/data=!4m10!3m9!1s0x2e68e73d87940001:0x63683df3492d3445!5m2!4m1!1i2!8m2!3d-6.8653744!4d107.636997!16s%2Fg%2F11h6g4m_nx!19sChIJAQCUhz3naC4RRTQtSfM9aGM?authuser=0&hl=en&rclk=1,,,,, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Fitness center unavailable ,
Manakala Villa,4.8,126 reviews,,"Jalan Bukanagara, Gg. Abahminta, Kayuambon, West Bandung Regency, West Java ",,"-6.8253929, 107.6316409", West Bandung ,https://www.google.com/maps/place/Manakala+Villa/data=!4m10!3m9!1s0x2e68e10b14c8eaff:0xc210752faf635be2!5m2!4m1!1i2!8m2!3d-6.8253929!4d107.6316409!16s%2Fg%2F11h4fj69fs!19sChIJ_-rIFAvhaC4R4ltjry91EMI?authuser=0&hl=en&rclk=1,, 9 AM to 5 PM,,https://manakala-villa.business.site/?utm_source=gmb&utm_medium=referral, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Fitness center unavailable ,
Dago Village,4.6,342 reviews,,"Jalan Pakar Timur, Ciburial, Cimenyan, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198 ",,"-6.8550366, 107.6477278",  Bandung,https://www.google.com/maps/place/Dago+Village/data=!4m10!3m9!1s0x2e68e74798aa41af:0xeaa7977c557b06e5!5m2!4m1!1i2!8m2!3d-6.8550366!4d107.6477278!16s%2Fg%2F11xt0_1m_!19sChIJr0GqmEfnaC4R5QZ7VXyXp-o?authuser=0&hl=en&rclk=1,, Open 24 hours,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Fitness center unavailable ,
Blue Ocean Tanjung Lesung,4.1,185 reviews,,"FMRF+8FM, Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",,"-6.5091614, 105.6736707", Pandeglang ,https://www.google.com/maps/place/Blue+Ocean+Tanjung+Lesung/data=!4m10!3m9!1s0x2e43b61af7aa35fd:0x3918e34ade788b31!5m2!4m1!1i2!8m2!3d-6.5091614!4d105.6736707!16s%2Fg%2F11ddx1njld!19sChIJ_TWq9xq2Qy4RMYt43krjGDk?authuser=0&hl=en&rclk=1,phone:tel:081938273950,,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Beach access available  |  Kid-friendly available  |  Fitness center unavailable ,
HomeStay RIMBA JAYA,4.4,29 reviews,,"6G83+R49, Jalan Taman Nasional, Ujung Kulon, Kertajaya, Sumur, Pandeglang Regency, Banten 42283 ",,"-6.7829742, 105.5028739", Pandeglang ,https://www.google.com/maps/place/HomeStay+RIMBA+JAYA/data=!4m10!3m9!1s0x2e43a6cd02e280bd:0x5041b735ce879e91!5m2!4m1!1i2!8m2!3d-6.7829742!4d105.5028739!16s%2Fg%2F11c1r6g1nz!19sChIJvYDiAs2mQy4RkZ6HzjW3QVA?authuser=0&hl=en&rclk=1,phone:tel:085782438844,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Fitness center unavailable ,
CIPUTIH Resort,4.3,533 reviews,,"7GXX+FJH National Park, Raya Ujung Kulon, Kertamukti, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",,"-6.7013059, 105.5491107",  Pandeglang,https://www.google.com/maps/place/CIPUTIH+Resort/data=!4m10!3m9!1s0x2e43a502cbd1530d:0x30891197fb64e172!5m2!4m1!1i2!8m2!3d-6.7013059!4d105.5491107!16s%2Fg%2F11b6t5sxs7!19sChIJDVPRywKlQy4RcuFk-5cRiTA?authuser=0&hl=en&rclk=1,phone:tel:0218281093,,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available  |  Beach access available  |  Fitness center unavailable ,
Aryastri Villa,4.8,12 reviews,,"Jl Boston Ivy no 3, Citra Green Dago, Green Hills, Ciumbuleuit, Kec. Cidadap, Kota Bandung, Jawa Barat 40142 ",,"-6.8555526, 107.6193793",  Bandung,https://www.google.com/maps/place/Aryastri+Villa/data=!4m10!3m9!1s0x2e68e7b351fdcb4f:0x1d6aea9e7b5f9be5!5m2!4m1!1i2!8m2!3d-6.8555526!4d107.6193793!16s%2Fg%2F11q41816vt!19sChIJT8v9UbPnaC4R5Ztfe57qah0?authuser=0&hl=en&rclk=1,phone:tel:081395284911, 11 AM to 12 PM,,, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Restaurant unavailable  |  Fitness center unavailable ,
PENGINAPAN KPC,5.0,2 reviews,,"Jl. Sumur - Cibaliung, Padasuka, Kec. Cimanggu, Kabupaten Pandeglang, Banten 42284 ",,"-6.7110183, 105.64661",  Pandeglang,https://www.google.com/maps/place/PENGINAPAN+KPC/data=!4m10!3m9!1s0x2e43afce4cf7a89f:0x66298a30c882b75f!5m2!4m1!1i2!8m2!3d-6.7110183!4d105.64661!16s%2Fg%2F11sfhb5yt7!19sChIJn6j3TM6vQy4RX7eCyDCKKWY?authuser=0&hl=en&rclk=1,phone:tel:081574805800,,,, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Fitness center unavailable ,
Faris Homestay,3.7,17 reviews,,"Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",,"-6.5128434, 105.6769902", Pandeglang ,https://www.google.com/maps/place/Faris+Homestay/data=!4m10!3m9!1s0x2e43b60fd082c72b:0xcddc8c004a91eb74!5m2!4m1!1i2!8m2!3d-6.5128434!4d105.6769902!16s%2Fg%2F11d_cqzf6n!19sChIJK8eC0A-2Qy4RdOuRSgCM3M0?authuser=0&hl=en&rclk=1,phone:tel:087882755747,,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Beach access available  |  Fitness center unavailable ,
Ponpes Almunawar Gadog,4.3,8 reviews,Cottage,"6MVW+6F3, Unnamed Road, Cikadu, Kec. Cibitung, Kabupaten Pandeglang, Banten 42285 ",,"-6.7569789, 105.6961842",  Pandeglang,https://www.google.com/maps/place/Ponpes+Almunawar+Gadog/data=!4m7!3m6!1s0x2e43ab4ad41b0571:0x6e8e1f3132a2dee6!8m2!3d-6.7569789!4d105.6961842!16s%2Fg%2F11g1tjq79l!19sChIJcQUb1EqrQy4R5t6iMjEfjm4?authuser=0&hl=en&rclk=1,phone:tel:085814950158,,,,,
Asoka Resort Ketapang Banten,4.3,222 reviews,,"FMFW+W4C, Citeureup, Panimbang, Pandeglang Regency, Banten 42281 ",,"-6.5248965, 105.6942708", Pandeglang ,https://www.google.com/maps/place/Asoka+Resort+Ketapang+Banten/data=!4m10!3m9!1s0x2e43b5dbff58cfe7:0x2bd24585d49592fc!5m2!4m1!1i2!8m2!3d-6.5248965!4d105.6942708!16s%2Fg%2F11f2wr1ynk!19sChIJ589Y_9u1Qy4R_JKV1IVF0is?authuser=0&hl=en&rclk=1,phone:tel:02535807000,,,https://www.asokaresortbanten.com/, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Accessible unavailable  |  Outdoor pool available  |  Business center unavailable  |  Pet-friendly available  |  Beach access available  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Fitness center unavailable  |  Smoke-free available ,
Wisma Panorama Selat Sunda,,,Boarding house,"JL Raya Panimbang, Km. 3, Panimbang, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.531257, 105.653365",  Pandeglang,https://www.google.com/maps/place/Wisma+Panorama+Selat+Sunda/data=!4m7!3m6!1s0x2e43b6455bff6473:0xee0654293182cbc6!8m2!3d-6.531257!4d105.653365!16s%2Fg%2F11bc7sdxss!19sChIJc2T_W0W2Qy4RxsuCMSlUBu4?authuser=0&hl=en&rclk=1,phone:tel:08129331735,,,,,
Wisma Sarang Badak,3.6,164 reviews,Corporate office,"Jl. Taman Nasional Ujung Kulon, Kertajaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",,"-6.6616061, 105.5803376",  Pandeglang,https://www.google.com/maps/place/Wisma+Sarang+Badak/data=!4m7!3m6!1s0x2e43bab1bb9b27af:0xa902b901c5115413!8m2!3d-6.6616061!4d105.5803376!16s%2Fg%2F11c0t9jr0_!19sChIJryebu7G6Qy4RE1QRxQG5Aqk?authuser=0&hl=en&rclk=1,phone:tel:082260999093, 8 AM to 10 PM,,https://ujungkulontour.webs.com/,,
Pantai Camara Homestay,4.8,136 reviews,,"Pantai Camara Homestay Jl. Pariwisata Kp. Simpang, Banyuasih, Cigeulis, Pandeglang Regency, Banten 42282 ",,"-6.5940993, 105.6246373", Pandeglang ,https://www.google.com/maps/place/Pantai+Camara+Homestay/data=!4m10!3m9!1s0x2e43b19867b16d43:0x18ce88f150ade417!5m2!4m1!1i2!8m2!3d-6.5940993!4d105.6246373!16s%2Fg%2F11fmlfq3fv!19sChIJQ22xZ5ixQy4RF-StUPGIzhg?authuser=0&hl=en&rclk=1,phone:tel:081285824502,,,, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Business center unavailable  |  Pet-friendly available  |  Beach access available  |  Room service available  |  Kid-friendly available  |  Kitchen in all rooms available  |  Airport shuttle unavailable  |  Fitness center unavailable  |  Smoke-free unavailable ,
Penginapan Edelweiss,,23 reviews,Inn,"Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.5253923, 105.6976275",  Pandeglang,https://www.google.com/maps/place/Penginapan+Edelweiss/data=!4m7!3m6!1s0x2e43b7e44923d747:0xc592ebcf3aefc24b!8m2!3d-6.5253923!4d105.6976275!16s%2Fg%2F11f6g3dq_k!19sChIJR9cjSeS3Qy4RS8LvOs_rksU?authuser=0&hl=en&rclk=1,phone:tel:087770027511,,,https://penginapan-edelweiss.business.site/,,
Honje Eco Lodge,4.4,140 reviews,,"8H9C+275, Jl. Taman Nasional Ujung Kulon, Kertajaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",,"-6.6824952, 105.5707259",  Pandeglang,https://www.google.com/maps/place/Honje+Eco+Lodge/data=!4m7!3m6!1s0x2e43a5388181335d:0x26929c5a98be1f75!8m2!3d-6.6824952!4d105.5707259!16s%2Fg%2F11cjj0dx6w!19sChIJXTOBgTilQy4RdR--mFqckiY?authuser=0&hl=en&rclk=1,phone:tel:085780066198,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Laundry service available  |  Beach access available  |  Kid-friendly available  |  Restaurant available  |  Fitness center unavailable ,
Adam Homestay Tanjung Lesung,4.1,29 reviews,Lodge,"Kp. Cipanon, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.5095278, 105.6709854",  Pandeglang,https://www.google.com/maps/place/Adam+Homestay+Tanjung+Lesung/data=!4m7!3m6!1s0x2e43b61eb5af29a3:0x8c32cc8c6e698613!8m2!3d-6.5095278!4d105.6709854!16s%2Fg%2F11cn5q0pdq!19sChIJoymvtR62Qy4RE4ZpbozMMow?authuser=0&hl=en&rclk=1,phone:tel:087884502296,,,http://bantentour.com/city/pandeglang/panimbang/penginapan-homestay-villa-resort-tanjung-lesung/homestay.html,,
Pines Villa,4.9,29 reviews,Lodging,"4JVX+V59, Cikuda, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198 ",,"-6.8553405, 107.6479746",  Bandung,https://www.google.com/maps/place/Pines+Villa/data=!4m7!3m6!1s0x2e68e7334911f96b:0x623e7646847bbf1d!8m2!3d-6.8553405!4d107.6479746!16s%2Fg%2F11kxc3gl1v!19sChIJa_kRSTPnaC4RHb97hEZ2PmI?authuser=0&hl=en&rclk=1,,,,,,
Khatulistiwa Homestay,,,,,,"-8.6797448, 115.2244851",,https://www.google.com/maps/place/Khatulistiwa+Homestay/data=!4m7!3m6!1s0x2e43c9c3e16bc44b:0x7130173e9cf26b34!8m2!3d-6.5098541!4d105.6714589!16s%2Fg%2F11c0xpjhbv!19sChIJS8Rr4cPJQy4RNGvynD4XMHE?authuser=0&hl=en&rclk=1,,,,,,
Kadeudeuh Homestay  Rumah Arsyla,4.3,27 reviews,,"Unnamed Road, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.5254068, 105.6835148",  Pandeglang,https://www.google.com/maps/place/Kadeudeuh+Homestay+-+Rumah+Arsyla/data=!4m7!3m6!1s0x2e43b7cac171c34b:0x78e67919f04727e2!8m2!3d-6.5254068!4d105.6835148!16s%2Fg%2F11g10lbgwq!19sChIJS8Nxwcq3Qy4R4idH8Bl55ng?authuser=0&hl=en&rclk=1,phone:tel:08558658364,,,, Kid-friendly available ,
Wisata Tanjung Lesung,4.0,71 reviews,Lodge,"Kp. Cikadu Indah, RT.002/RW.001, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.5082291, 105.6699053",  Pandeglang,https://www.google.com/maps/place/Wisata+Tanjung+Lesung/data=!4m7!3m6!1s0x2e43b6197bc3a359:0x84d7e0eb5ebe884e!8m2!3d-6.5082291!4d105.6699053!16s%2Fg%2F11c3vnktmj!19sChIJWaPDexm2Qy4RToi-Xuvg14Q?authuser=0&hl=en&rclk=1,phone:tel:085217102657,,,http://www.bantentour.com/city/pandeglang/panimbang/wisata-tanjung-lesung.html,,
PENGINAPAN KARUNIA,4.8,10 reviews,Homestay,"7PP5+XMQ, Sukajadi, Cibaliung, Pandeglang Regency, Banten 42285 ",,"-6.7125455, 105.7092443", Pandeglang ,https://www.google.com/maps/place/PENGINAPAN+KARUNIA/data=!4m7!3m6!1s0x2e43ad7b17c52abf:0xc4e065f706583c25!8m2!3d-6.7125455!4d105.7092443!16s%2Fg%2F11f7bds22y!19sChIJvyrFF3utQy4RJTxYBvdl4MQ?authuser=0&hl=en&rclk=1,phone:tel:08872390849,,,,,
Banyuasih Resort,4.1,15 reviews,Hotel,"9J96+J9X, Jl. Sumur - Cibaliung, Banyuasih, Kec. Cimanggu, Kabupaten Pandeglang, Banten 42284 ",,"-6.6308901, 105.6109909",  Pandeglang,https://www.google.com/maps/place/Banyuasih+Resort/data=!4m7!3m6!1s0x2e43b063eee35629:0xdd29b4f5f8229426!8m2!3d-6.6308901!4d105.6109909!16s%2Fg%2F11b73knk57!19sChIJKVbj7mOwQy4RJpQi-PW0Kd0?authuser=0&hl=en&rclk=1,phone:tel:02153153008,,,,,
Villa Borobudur Resort,4.7,199 reviews,,"Jl. Pete Dusun Pete, Sawah, Majaksingi, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553 ",,"-7.632846, 110.205656",  Magelang,https://www.google.com/maps/place/Villa+Borobudur+Resort/data=!4m7!3m6!1s0x2e7a8cceca1c52c9:0x1adfc74cefa927c1!8m2!3d-7.632846!4d110.205656!16s%2Fg%2F1ydppcht0!19sChIJyVIcys6Mei4RwSep70zH3xo?authuser=0&hl=en&rclk=1,phone:tel:085100525520,,,http://www.villaborobudurresort.com/, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle available  |  Spa available  |  Bar available ,
OYO 2860 The Castury Homestay Syariah,4.3,181 reviews,,"Jl. Raya Tanjung Lesung Kampung Katapang, RT.02/RW03, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,"-6.5250678, 105.6946396",  Pandeglang,https://www.google.com/maps/place/OYO+2860+The+Castury+Homestay+Syariah/data=!4m7!3m6!1s0x2e43b5dc1adaa977:0x5ee27626f79862bf!8m2!3d-6.5250678!4d105.6946396!16s%2Fg%2F11bv30htmh!19sChIJd6naGty1Qy4Rv2KY9yZ24l4?authuser=0&hl=en&rclk=1,phone:tel:02129707601,,,https://www.oyorooms.com/h/95034/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_KPG002&latitude=-6.52505827517&longitude=105.694639441&locale=id, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Beach access available  |  Restaurant available  |  Fitness center unavailable ,
A P M House,5.0,6 reviews,Hotel,"8H89+GGR, Kertamukti, Sumur, Pandeglang Regency, Banten 42283 ",,"-6.683647, 105.568755", Pandeglang ,https://www.google.com/maps/place/A+P+M+House/data=!4m7!3m6!1s0x2e43a5c49f131ad9:0x48774511ae204453!8m2!3d-6.683647!4d105.568755!16s%2Fg%2F11grpttjz6!19sChIJ2RoTn8SlQy4RU0QgrhFFd0g?authuser=0&hl=en&rclk=1,phone:tel:085718971299,,,,,
Sampai Villa SANTIVA,4.8,6 reviews,,"Jl. Bandut Lor No.Rt 31, Bandut Lor, Argorejo, Kec. Sedayu, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55752 ",,"-7.8172489, 110.2677395",  Bantul,https://www.google.com/maps/place/Sampai+Villa+SANTIVA/data=!4m7!3m6!1s0x2e7af9eaac4ef5c3:0xcdf60c30b2205d4a!8m2!3d-7.8172489!4d110.2677395!16s%2Fg%2F11td1dm6pz!19sChIJw_VOrOr5ei4RSl0gsjAM9s0?authuser=0&hl=en&rclk=1,phone:tel:081229377252, Open 24 hours,,https://www.tiket.com/hotel/indonesia/sampai-villa-santiva-510001665988240326?accommodationType=NHA,,
