title,review_point,review_total,contact_number,open_hours,metadata,coordinate,link,sub_category,address,site,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,regency,Accessibility,Planning,price_level,short_description,Highlights,check_in,From the business,check_out,amenities
Mie Bakso Mustika,1,1 review,,,,"-7.4678485, 107.8288567",https://www.google.com/maps/place/Mie+Bakso+Mustika/data=!4m7!3m6!1s0x2e661ce8ad224f59:0xb2b63bdc13335408!8m2!3d-7.4678485!4d107.8288567!16s%2Fg%2F11k5t5q2pv!19sChIJWU8iregcZi4RCFQzE9w7trI?authuser=0&hl=en&rclk=1,Bakso restaurant,"Cipangramatan, Cikajang, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Warung Bu Maya,5,2 reviews,,,,"-7.4490394, 107.6888001",https://www.google.com/maps/place/Warung+Bu+Maya/data=!4m7!3m6!1s0x2e661f48a5fe38d7:0xa236ad973c313fd1!8m2!3d-7.4490394!4d107.6888001!16s%2Fg%2F11hdqjq477!19sChIJ1zj-pUgfZi4R0T8xPJetNqI?authuser=0&hl=en&rclk=1,Breakfast restaurant,"HM2Q+9GM, Jl. Raya Jatiwangi - Bungbulang, Kp. Cijulang, Jatiwangi, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",,Takeaway | Dine-in,Coffee | Halal food,Breakfast,Good for kids,Casual | Cosy,,Cash only,  Garut,,,,,,,,,
Warung Nasi Baraya,,,,,,"-7.509766, 107.809136",https://www.google.com/maps/place/Warung+Nasi+Baraya/data=!4m7!3m6!1s0x2e661b9d33591b65:0x2bd12f33c22fb50f!8m2!3d-7.509766!4d107.809136!16s%2Fg%2F11sbwpdb48!19sChIJZRtZM50bZi4RD7UvwjMv0Ss?authuser=0&hl=en&rclk=1,Restaurant,"Neglasari, Cisompet, Garut Regency, West Java ",,,,,,,,, Garut ,,,,,,,,,
Rm Mulya Sari 2,4.3,53 reviews,, Open 24 hours,,"-7.4581602, 107.8232894",https://www.google.com/maps/place/Rm+Mulya+Sari+2/data=!4m7!3m6!1s0x2e661ce2b113ffff:0x772170a072553b4e!8m2!3d-7.4581602!4d107.8232894!16s%2Fg%2F11g6_70323!19sChIJ__8TseIcZi4RTjtVcqBwIXc?authuser=0&hl=en&rclk=1,Padang restaurant,"GRRF+P8M, Cipang Ramatan, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171 ",,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food,Breakfast | Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Garut,,,$,,,,,,
Kedai Bakar Ikan dan Bakar Ayam Kinanty Fresh,5,1 review,,,,"-7.5850049, 107.7504566",https://www.google.com/maps/place/Kedai+Bakar+Ikan+dan+Bakar+Ayam+Kinanty+Fresh/data=!4m7!3m6!1s0x2e661794237e1ec5:0xf43fc258fa473ef4!8m2!3d-7.5850049!4d107.7504566!16s%2Fg%2F11jq_wlghz!19sChIJxR5-I5QXZi4R9D5H-ljCP_Q?authuser=0&hl=en&rclk=1,Fish restaurant,"CQ72+X5W, Bojong, Pameungpeuk, Garut Regency, West Java 44175 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Mie Bakso Urat Riky Restaurant,,,,,,"-7.3968298, 107.7196334",https://www.google.com/maps/place/Mie+Bakso+Urat+Riky+Restaurant/data=!4m7!3m6!1s0x2e68a0f4f8d84105:0x66af8ff5fb050081!8m2!3d-7.3968298!4d107.7196334!16s%2Fg%2F11j2dnbsl0!19sChIJBUHY-PSgaC4RgQAF-_WPr2Y?authuser=0&hl=en&rclk=1,Restaurant,"JP39+7V6, Jl. Pakenjeng, Pananjung, Kec. Pamulihan, Kabupaten Garut, Jawa Barat 44168 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Fast Food Restaurant,,,,,,"-7.4557324, 107.5984105",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e6620e8042cc745:0xcfff1497da83d763!8m2!3d-7.4557324!4d107.5984105!16s%2Fg%2F11skv2j0q0!19sChIJRccsBOggZi4RY9eD2pcU_88?authuser=0&hl=en&rclk=1,Restaurant,"GHVX+P93, Jl. Raya Bungbulang, Bungbulang, Kec. Bungbulang, Kabupaten Garut, Jawa Barat 44165 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
MARTABAK TOP WIN CABANG CISOMPET,5,2 reviews,phone:tel:082129812048, 9AM to 9PM,,"-7.5495141, 107.8129289",https://www.google.com/maps/place/MARTABAK+TOP+WIN+CABANG+CISOMPET/data=!4m7!3m6!1s0x2e661b0f7d2ef729:0xe569b6de163cb7!8m2!3d-7.5495141!4d107.8129289!16s%2Fg%2F11p5j63px6!19sChIJKfcufQ8bZi4RtzwW3rZp5QA?authuser=0&hl=en&rclk=1,Murtabak restaurant,"FR27+55V, Jl. Raya Cisompet, Cisompet, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,  Garut,,,,,,,,,
MARTABAK PUSPA SARI,5,1 review,phone:tel:085314410850, 11:30AM to 9PM,,"-7.5502377, 107.8297135",https://www.google.com/maps/place/MARTABAK+PUSPA+SARI/data=!4m7!3m6!1s0x2e661bac143e68af:0xb7e9f1bca446fc9f!8m2!3d-7.5502377!4d107.8297135!16s%2Fg%2F11t0sstg5r!19sChIJr2g-FKwbZi4Rn_xGpLzx6bc?authuser=0&hl=en&rclk=1,Murtabak restaurant,"Jalan sermadurahman, puspasari rt03/10, Jatisari, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,  Garut,,,,,,,,,
Chiken aazis,3,1 review,phone:tel:087724605551, 8AM to 8PM,,"-7.4863195, 107.6646162",https://www.google.com/maps/place/Chiken+aazis/data=!4m7!3m6!1s0x2e6621fa8381bdf9:0x1ffd7bd081b919a1!8m2!3d-7.4863195!4d107.6646162!16s%2Fg%2F11llvq7d32!19sChIJ-b2Bg_ohZi4RoRm5gdB7_R8?authuser=0&hl=en&rclk=1,Chicken restaurant,"GM77+FRH, Neglasari, Pakenjeng, Garut Regency, West Java 44164 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Martabak Caringin,5,1 review,phone:tel:081354134966, 3:30 to 10PM,,"-7.5924775, 107.7714992",https://www.google.com/maps/place/Martabak+Caringin/data=!4m7!3m6!1s0x2e661163ec56153b:0xf7493fac6cf6140c!8m2!3d-7.5924775!4d107.7714992!16s%2Fg%2F11rz9crwlb!19sChIJOxVW7GMRZi4RDBT2bKw_Sfc?authuser=0&hl=en&rclk=1,Murtabak restaurant,"CQ4C+XJF, Depok, Cisompet, Garut Regency, West Java 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only, Garut ,,,,,,,,,
Kuliner Mamah Fisha,5,2 reviews,phone:tel:082121489656, 10AM to 6PM,,"-7.5553816, 107.7201447",https://www.google.com/maps/place/Kuliner+Mamah+Fisha/data=!4m7!3m6!1s0x2e66198af63c1615:0x5dec0e78ff16573f!8m2!3d-7.5553816!4d107.7201447!16s%2Fg%2F11s9xll7y4!19sChIJFRY89ooZZi4RP1cW_3gO7F0?authuser=0&hl=en&rclk=1,Seblak restaurant,"Kp. Pasawahan, RT.02/RW.07, Karangsari, Kec. Cikelet, Kabupaten Garut, Jawa Barat 44177 ",,,Coffee | Halal food | Kids' menu,Seating,Good for kids | Toilets,Casual | Cosy,Family friendly | Groups,,  Garut,,,,,,,,,
Warung Nasi Timbel Hj. Atun,5,1 review,, Open 24 hours,,"-7.4654186, 107.6713252",https://www.google.com/maps/place/Warung+Nasi+Timbel+Hj.+Atun/data=!4m7!3m6!1s0x2e661f73c5c5e461:0x4f29bef928d0d654!8m2!3d-7.4654186!4d107.6713252!16s%2Fg%2F11lpd8bk8r!19sChIJYeTFxXMfZi4RVNbQKPm-KU8?authuser=0&hl=en&rclk=1,Restaurant,"GMMC+RGP, Jl. Raya Jatiwangi - Bungbulang, Kp. Sindangratu, Jatiwangi, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",http://www.jangipan.com/,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Rumah Makan Kurnia,4.1,7 reviews,,,,"-7.4558628, 107.6607392",https://www.google.com/maps/place/Rumah+Makan+Kurnia/data=!4m7!3m6!1s0x2e66202f1ca5249b:0x57978b707083b6f4!8m2!3d-7.4558628!4d107.6607392!16s%2Fg%2F11g9qv01h2!19sChIJmySlHC8gZi4R9LaDcHCLl1c?authuser=0&hl=en&rclk=1,Padang restaurant,"GMV6+M75, Jl. Raya Depok Bungbulang, Depok, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",,Takeaway | Dine-in,,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Warung Bakso Teh Elis,2,1 review,, 9AM to 7PM,,"-7.5996436, 107.770307",https://www.google.com/maps/place/Warung+Bakso+Teh+Elis/data=!4m7!3m6!1s0x2e66114742e57ebf:0xdf4101b259704a8a!8m2!3d-7.5996436!4d107.770307!16s%2Fg%2F11qbbg0zbs!19sChIJv37lQkcRZi4RikpwWbIBQd8?authuser=0&hl=en&rclk=1,Bakso restaurant,"Kp. Pangligaran RT:04/RW:04, Depok, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Warung Nasi,,,,,,"-7.4374577, 107.8348471",https://www.google.com/maps/place/Warung+Nasi/data=!4m7!3m6!1s0x2e661d3fdf1be413:0x6391f397170c01a2!8m2!3d-7.4374577!4d107.8348471!16s%2Fg%2F11jk6hnpd_!19sChIJE-Qb3z8dZi4RogEMF5fzkWM?authuser=0&hl=en&rclk=1,Nasi restaurant,"HR7M+2W9, Jalan, Cipangramatan, Cikajang, Garut Regency, West Java 44171 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Cosy,,Cash only, Garut ,,,,,,,,,
Warung seblak th nurhayati,,,phone:tel:082118080349,,,"-7.4516901, 107.7176012",https://www.google.com/maps/place/Warung+seblak+th+nurhayati/data=!4m7!3m6!1s0x2e661fed8d479e49:0xea9880796d94128f!8m2!3d-7.4516901!4d107.7176012!16s%2Fg%2F11s69kzllc!19sChIJSZ5Hje0fZi4RjxKUbXmAmOo?authuser=0&hl=en&rclk=1,Seblak restaurant,"GPX9+82, Talagawangi, Pakenjeng, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Fast Food Restaurant,,,,,,"-7.6615003, 107.6870162",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e66160de12cb28b:0x4e1c482924843a7!8m2!3d-7.6615003!4d107.6870162!16s%2Fg%2F11jwsgfbcc!19sChIJi7Is4Q0WZi4Rp0NIkoLE4QQ?authuser=0&hl=en&rclk=1,Fast food restaurant,"Pamalayan, Cikelet, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual,Groups,, Garut ,,,,,,,,,
Martabak Manis Dan Mini Bakar Ayam Goreng Ayam Fast Food Restaurant,,,,,,"-7.6476209, 107.7116445",https://www.google.com/maps/place/Martabak+Manis+Dan+Mini+Bakar+Ayam+Goreng+Ayam+Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e66165e6ad159f9:0xa182fe5104c09f2!8m2!3d-7.6476209!4d107.7116445!16s%2Fg%2F11jk6j77zf!19sChIJ-VnRal4WZi4R8glMEOUvGAo?authuser=0&hl=en&rclk=1,Restaurant,"9P26+XM2, Jl. Cilauteureun, Mancagahar, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only,  Garut,,,,,,,,,
Warnas Bu Aam,,,,,,"-7.5903913, 107.7728028",https://www.google.com/maps/place/Warnas+Bu+Aam/data=!4m7!3m6!1s0x2e6610af21c19e83:0xde0b11c5a72934ad!8m2!3d-7.5903913!4d107.7728028!16s%2Fg%2F11k5t5nlyc!19sChIJg57BIa8QZi4RrTQpp8URC94?authuser=0&hl=en&rclk=1,Nasi restaurant,"CQ5F+R4V, Jl. Raya Cisompet, Sukanagara, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,,Cash only,  Garut,,,,,,,,,
Rumah Makan kurnia,,,phone:tel:081222552574, Open 24 hours,,"-7.5048126, 107.8253403",https://www.google.com/maps/place/Rumah+Makan+kurnia/data=!4m7!3m6!1s0x2e661b124e9a3183:0x770cc2f765abb7d3!8m2!3d-7.5048126!4d107.8253403!16s%2Fg%2F11t4m314_9!19sChIJgzGaThIbZi4R07erZffCDHc?authuser=0&hl=en&rclk=1,Diner,"Kp.gunung gelap, Mekarwangi, Kec. Cihurip, Kabupaten Garut, Jawa Barat 44173 ",,Kerbside pickup | Drive-through | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Warkop dan nasi goreng/mie goreng/ seblak,5,1 review,phone:tel:081282822973, 7AM to 11PM,,"-7.5912379, 107.7713899",https://www.google.com/maps/place/Warkop+dan+nasi+goreng%2Fmie+goreng%2F+seblak/data=!4m7!3m6!1s0x2e6611a8144ecdef:0x69c26883368f6b76!8m2!3d-7.5912379!4d107.7713899!16s%2Fg%2F11lrr4yqpn!19sChIJ781OFKgRZi4RdmuPNoNowmk?authuser=0&hl=en&rclk=1,Brunch restaurant,"CQ5C+GH2, Sukanagara, Cisompet, Garut Regency, West Java 44174 ",,Takeaway | Dine-in,Coffee | Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Fast Food Restaurant,4,1 review,,,,"-7.5093519, 107.916654",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e660465ec47c729:0x8eb2942372a98a45!8m2!3d-7.5093519!4d107.916654!16s%2Fg%2F11k5t5wbs8!19sChIJKcdH7GUEZi4RRYqpciOUso4?authuser=0&hl=en&rclk=1,Fast food restaurant,"Karangagung, Singajaya, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual,Groups,, Garut ,,,,,,,,,
Warung Nyi Ijah,,,,,,"-7.4364014, 107.7015684",https://www.google.com/maps/place/Warung+Nyi+Ijah/data=!4m7!3m6!1s0x2e661f0aef120e73:0x87926baaa299f78e!8m2!3d-7.4364014!4d107.7015684!16s%2Fg%2F11j0stg4rh!19sChIJcw4S7wofZi4RjveZoqprkoc?authuser=0&hl=en&rclk=1,Bakso restaurant,"HP72+CJP, Jatiwangi, Pakenjeng, Garut Regency, West Java 44164 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Warung nasi sari rasa,3,2 reviews,phone:tel:081323117633, 6AM to 6PM,,"-7.5031674, 107.8615084",https://www.google.com/maps/place/Warung+nasi+sari+rasa/data=!4m7!3m6!1s0x2e660599d88f9c63:0xc749a31e89783ee2!8m2!3d-7.5031674!4d107.8615084!16s%2Fg%2F11h3w7llvb!19sChIJY5yP2JkFZi4R4j54iR6jScc?authuser=0&hl=en&rclk=1,Nasi restaurant,"FVW6+PJJ, Unnamed Road, Cihurip, Kec. Cihurip, Kabupaten Garut, Jawa Barat 44173 ",,,,,,,,,  Garut,,,,,,,,,
RM. Badega,4,132 reviews,, Open 24 hours,,"-7.4367031, 107.8342209",https://www.google.com/maps/place/RM.+Badega/data=!4m7!3m6!1s0x2e661d1550de8689:0x67c8805e261ffd18!8m2!3d-7.4367031!4d107.8342209!16s%2Fg%2F11f0wf651h!19sChIJiYbeUBUdZi4RGP0fJl6AyGc?authuser=0&hl=en&rclk=1,Sundanese restaurant,"Jl. Cikajang, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171 ",,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food | Vegan options,Breakfast | Lunch | Dinner | Catering | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Garut,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,Accepts reservations,$,,,,,,
Warung Bakso Mas Sardi,,,, 9:30AM to 5:30PM,,"-7.6062458, 107.7681641",https://www.google.com/maps/place/Warung+Bakso+Mas+Sardi/data=!4m7!3m6!1s0x2e661134ab41edcb:0x38083ecd685dc86!8m2!3d-7.6062458!4d107.7681641!16s%2Fg%2F11qbbgzlwz!19sChIJy-1BqzQRZi4RhtyF1uyDgAM?authuser=0&hl=en&rclk=1,Bakso restaurant,"9QV9+MFM, Depok, Cisompet, Garut Regency, West Java 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Fast Food Restaurant,,,,,,"-7.260132, 107.8394712",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e68a5461951751d:0x624177e921e785af!8m2!3d-7.260132!4d107.8394712!16s%2Fg%2F11p65qz00f!19sChIJHXVRGUalaC4Rr4XnIel3QWI?authuser=0&hl=en&rclk=1,Restaurant,"Karyajaya, Bayongbong, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,, Garut ,,,,,,,,,
Rumah Makan Mamah Dedeh,4.2,62 reviews,phone:tel:082317210092, 8AM to 8PM,,"-7.6181562, 107.7568936",https://www.google.com/maps/place/Rumah+Makan+Mamah+Dedeh/data=!4m7!3m6!1s0x2e66172e6333af63:0x45a67e19b8ede082!8m2!3d-7.6181562!4d107.7568936!16s%2Fg%2F11hd1m8t1t!19sChIJY68zYy4XZi4RguDtuBl-pkU?authuser=0&hl=en&rclk=1,Sundanese restaurant,"Depok, Cisompet, Garut Regency, West Java 44174 ",,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Late-night food,Breakfast | Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only, Garut ,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,Accepts reservations,,,,,,,
Mie Bakso Putra Sunda Ibu Een,5,3 reviews,, Open 24 hours,,"-7.5480564, 107.8382601",https://www.google.com/maps/place/Mie+Bakso+Putra+Sunda+Ibu+Een/data=!4m7!3m6!1s0x2e661b6a14cc171f:0xdff3fd3182edcd84!8m2!3d-7.5480564!4d107.8382601!16s%2Fg%2F11fn42mgbm!19sChIJHxfMFGobZi4RhM3tgjH9898?authuser=0&hl=en&rclk=1,Bakso restaurant,"FR2Q+Q8C, kp.puspasari, Jatisari, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Amat Baso,5,1 review,phone:tel:085877133536, 6:30AM to 7:30PM,,"-7.6024296, 107.7700696",https://www.google.com/maps/place/Amat+Baso/data=!4m7!3m6!1s0x2e66115a47283c31:0x94ced6412724f19f!8m2!3d-7.6024296!4d107.7700696!16s%2Fg%2F11qbbf_5xj!19sChIJMTwoR1oRZi4Rn_EkJ0HWzpQ?authuser=0&hl=en&rclk=1,Bakso restaurant,"9QX9+6VH, Depok, Cisompet, Garut Regency, West Java 44174 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Neng adiba,,,,,,"-7.5372652, 107.6864622",https://www.google.com/maps/place/Neng+adiba/data=!4m7!3m6!1s0x2e66192488892eaf:0x5f697b0658c15894!8m2!3d-7.5372652!4d107.6864622!16s%2Fg%2F11sm7bcscm!19sChIJry6JiCQZZi4RlFjBWAZ7aV8?authuser=0&hl=en&rclk=1,Seblak restaurant,"FM7P+3HW, Kertamukti, Cikelet, Garut Regency, West Java 44177 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Fast Food Restaurant,,,,,,"-7.4727106, 107.9097621",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e6603a1bbc207ff:0x4b7de0485b5804ab!8m2!3d-7.4727106!4d107.9097621!16s%2Fg%2F11fsr1c1b_!19sChIJ_wfCu6EDZi4RqwRYW0jgfUs?authuser=0&hl=en&rclk=1,Fast food restaurant,"Girimukti, Singajaya, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual,Groups,, Garut ,,,,,,,,,
Mie Baso Urat Barokah,5,1 review,,,,"-7.4519074, 107.8257378",https://www.google.com/maps/place/Mie+Baso+Urat+Barokah/data=!4m7!3m6!1s0x2e661d1b7fc3ae83:0xc142c293387ffb1c!8m2!3d-7.4519074!4d107.8257378!16s%2Fg%2F11j1j6bl12!19sChIJg67DfxsdZi4RHPt_OJPCQsE?authuser=0&hl=en&rclk=1,Bakso restaurant,"GRXG+67Q, Jl. Amblas, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171 ",,,,,,,,,  Garut,,,,,,,,,
Mie baso UBED khas Bandung,,,, 9AM to 9PM,,"-7.4339508, 107.6461156",https://www.google.com/maps/place/Mie+baso+UBED+khas+Bandung/data=!4m7!3m6!1s0x2e6621343e41c62d:0xb35a68c56d3394e7!8m2!3d-7.4339508!4d107.6461156!16s%2Fg%2F11ftx55g33!19sChIJLcZBPjQhZi4R55QzbcVoWrM?authuser=0&hl=en&rclk=1,Restaurant,"HJ8W+CC9, Jln Nangkaruka, Panyindangan, Pakenjeng, Garut Regency, West Java 44164 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Warung Sundawa,1,1 review,, 6AM to 10PM,,"-7.613523, 107.7633216",https://www.google.com/maps/place/Warung+Sundawa/data=!4m7!3m6!1s0x2e6617f838a17899:0xdd793bee96fdc6cb!8m2!3d-7.613523!4d107.7633216!16s%2Fg%2F11sgnzm2ch!19sChIJmXihOPgXZi4Ry8b9lu47ed0?authuser=0&hl=en&rclk=1,Tegal restaurant,"9QP7+H8, Depok, Cisompet, Garut Regency, West Java 44174 ",,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Mie Bakso Hanna,3,1 review,,,,"-7.4483347, 107.6889385",https://www.google.com/maps/place/Mie+Bakso+Hanna/data=!4m7!3m6!1s0x2e661f332ab54079:0x89836ed950ef43c7!8m2!3d-7.4483347!4d107.6889385!16s%2Fg%2F11fp1rknhs!19sChIJeUC1KjMfZi4Rx0PvUNlug4k?authuser=0&hl=en&rclk=1,Bakso restaurant,"HM2Q+MH8, Jl. Raya Jatiwangi - Bungbulang, Kp. Cijulang, Jatiwangi, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Garut,,,,,,,,,
Fast Food Restaurant,,,,,,"-7.4825098, 107.9100144",https://www.google.com/maps/place/Fast+Food+Restaurant/data=!4m7!3m6!1s0x2e66039cf39b08ff:0xf7d1932767a25d4f!8m2!3d-7.4825098!4d107.9100144!16s%2Fg%2F11k5t5jm0m!19sChIJ_wib85wDZi4RT12iZyeT0fc?authuser=0&hl=en&rclk=1,Fast food restaurant,"Singajaya, Garut Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids | Toilets,,Groups,, Garut ,,,,,,,,,
Warung Nasi Khas Sunda Teh Lilis Medong,,,,,,"-7.6484713, 107.739243",https://www.google.com/maps/place/Warung+Nasi+Khas+Sunda+Teh+Lilis+Medong/data=!4m7!3m6!1s0x2e6616955ac7db7f:0x350c7b55fcc7a9ac!8m2!3d-7.6484713!4d107.739243!16s%2Fg%2F11j4t6gxfn!19sChIJf9vHWpUWZi4RrKnH_FV7DDU?authuser=0&hl=en&rclk=1,Restaurant,"9P2Q+JM9, Jl. Sirna Bakti, Sirnabakti, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175 ",,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,,Cash only,  Garut,,,,,,,,,
Warung Nasi Sarina,4,11 reviews,,,,"-7.4235873, 107.824209",https://www.google.com/maps/place/Warung+Nasi+Sarina/data=!4m7!3m6!1s0x2e661d96e3a7d3df:0x575ae5c285fad5b8!8m2!3d-7.4235873!4d107.824209!16s%2Fg%2F11j62s62cn!19sChIJ39On45YdZi4RuNX6hcLlWlc?authuser=0&hl=en&rclk=1,Nasi restaurant,"HRGF+HM8, Kp Simpang, RT.RW/RW.001.001, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44172 ",,Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,  Garut,,,,,,,,,
Warung baso ceker teh uwok,,,,,,"-7.6525358, 107.746128",https://www.google.com/maps/place/Warung+baso+ceker+teh+uwok/data=!4m7!3m6!1s0x2e6617d4e1a94f55:0x7d7455d3a28f2b18!8m2!3d-7.6525358!4d107.746128!16s%2Fg%2F11ly4yrsmb!19sChIJVU-p4dQXZi4RGCuPotNVdH0?authuser=0&hl=en&rclk=1,Restaurant,"8PWW+XFJ, Sirnabakti, Pameungpeuk, Garut Regency, West Java 44175 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Warung nasi kurnia,,,,,,"-7.3980026, 107.7203577",https://www.google.com/maps/place/Warung+nasi+kurnia/data=!4m7!3m6!1s0x2e68a11025626b15:0xe62554a5ebba2d62!8m2!3d-7.3980026!4d107.7203577!16s%2Fg%2F11hd_zp_1t!19sChIJFWtiJRChaC4RYi2666VUJeY?authuser=0&hl=en&rclk=1,Nasi restaurant,"JP2C+Q4X, Pananjung, Pamulihan, Garut Regency, West Java 44168 ",,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only, Garut ,,,,,,,,,
Warung baso mimih aden,,,phone:tel:085224318039, Open 24 hours,,"-7.5398328, 107.6815043",https://www.google.com/maps/place/Warung+baso+mimih+aden/data=!4m7!3m6!1s0x2e66199e88fd50eb:0x52d74c8a1d934f07!8m2!3d-7.5398328!4d107.6815043!16s%2Fg%2F11rv1xcz8f!19sChIJ61D9iJ4ZZi4RB0-THYpM11I?authuser=0&hl=en&rclk=1,Bakso restaurant,"FM6J+3F, Kertamukti, Cikelet, Garut Regency, West Java 44177 ",,,,,,,,, Garut ,,,,,,,,,
