title,sub_category,address,metadata,coordinate,link,review_point,review_total,open_hours,regency,contact_number,amenities,site,check_in,check_out,price_level,Service options,Accessibility,Offerings,Dining options,Atmosphere,Payments,Amenities,Crowd,Planning,Highlights
VILLA BIRU Cafetaria (Gado² Jakarta & Soto Ayam bening),Soto ayam restaurant,"Jl. Hayam Wuruk No.55, Sitimulyo, Cepu, Kec. Cepu, Kabupaten Blora, Jawa Tengah 58112 ",,"-7.1435938, 111.5867262",https://www.google.com/maps/place/VILLA+BIRU+Cafetaria+(Gado%C2%B2+Jakarta+%26+Soto+Ayam+bening)/data=!4m7!3m6!1s0x2e7765f9f8d25ecb:0x9a97d51c37cc35c!8m2!3d-7.1435938!4d111.5867262!16s%2Fg%2F11n2p_5qss!19sChIJy17S-Plldy4RXMN8w1F9qQk?authuser=0&hl=en&rclk=1,5,2 reviews, 7AM to 6PM,  Blora,phone:tel:081215970897,,,,,,Delivery | Takeaway | Dine-in,,Halal food,Lunch,Casual | Cosy,Cash only,Good for kids,Groups,,
Angga Cenggot's House,Villa,"WVC6+66X, Cabe, Bendo, Gondang, Tulungagung Regency, East Java ",,"-8.0793827, 111.8606029",https://www.google.com/maps/place/Angga+Cenggot's+House/data=!4m7!3m6!1s0x2e78e366ad662631:0x82b8a8e562b346a0!8m2!3d-8.0793827!4d111.8606029!16s%2Fg%2F11s9g866yn!19sChIJMSZmrWbjeC4RoEazYuWouII?authuser=0&hl=en&rclk=1,,,, Tulungagung ,,,,,,,,,,,,,,,,
INI RUMAH VIOLA,Villa,"XV6J+497, Jl. Kendil Wesi, Patikreco, Jatimulyo, Kec. Kauman, Kabupaten Tulungagung, Jawa Timur 66261 ",,"-8.0397119, 111.8809321",https://www.google.com/maps/place/INI+RUMAH+VIOLA/data=!4m7!3m6!1s0x2e78fdc0128a6245:0x281801fd7ae53262!8m2!3d-8.0397119!4d111.8809321!16s%2Fg%2F11s4h4mqrs!19sChIJRWKKEsD9eC4RYjLlev0BGCg?authuser=0&hl=en&rclk=1,,,,  Tulungagung,,,,,,,,,,,,,,,,
BANI ISKANDARIYAH WA MISARAH,Villa,"XW63+3FQ, Cikalan, Majan, Kedungwaru, Tulungagung Regency, East Java 66229 ",,"-8.0397915, 111.9037115",https://www.google.com/maps/place/BANI+ISKANDARIYAH+WA+MISARAH/data=!4m7!3m6!1s0x2e78fd6420469845:0x2c664a08b2a24cb8!8m2!3d-8.0397915!4d111.9037115!16s%2Fg%2F11pf6x38yt!19sChIJRZhGIGT9eC4RuEyisghKZiw?authuser=0&hl=en&rclk=1,5,1 review,, Tulungagung ,,,,,,,,,,,,,,,,
Sony Heriawan Homestay,Villa,"RWPW+XF5, Dusun Tawang, Pagersari, Kec. Kalidawir, Kabupaten Tulungagung, Jawa Timur 66281 ",,"-8.1626098, 111.9462472",https://www.google.com/maps/place/Sony+Heriawan+Homestay/data=!4m7!3m6!1s0x2e78e1ae885f00a7:0x3a42662e97b1ef4b!8m2!3d-8.1626098!4d111.9462472!16s%2Fg%2F11rw64xt2x!19sChIJpwBfiK7heC4RS--xly5mQjo?authuser=0&hl=en&rclk=1,5,1 review, Open 24 hours,  Tulungagung,phone:tel:085791457666,,,,,,,,,,,,,,,
Bnyak hom,Villa,"V364+3JP, Tutul, Banjarejo, Rejotangan, Tulungagung Regency, East Java 66293 ",,"-8.1397792, 112.0565795",https://www.google.com/maps/place/Bnyak+hom/data=!4m7!3m6!1s0x2e78e90cc58ec717:0xad085ecd3a1a8387!8m2!3d-8.1397792!4d112.0565795!16s%2Fg%2F11sy9rrr7z!19sChIJF8eOxQzpeC4Rh4MaOs1eCK0?authuser=0&hl=en&rclk=1,,,, Tulungagung ,,,,,,,,,,,,,,,,
Hj supinah/ Binti Maslihah,Villa,"V29W+CFJ, RT.02/RW.01, Tenggur, Rejotangan, Tulungagung Regency, East Java 66293 ",,"-8.1314076, 112.0461466",https://www.google.com/maps/place/Hj+supinah%2F+Binti+Maslihah/data=!4m7!3m6!1s0x2e78e7b2ff7a8aa9:0xde0adbb7dbe8739f!8m2!3d-8.1314076!4d112.0461466!16s%2Fg%2F11t12wsrkg!19sChIJqYp6_7LneC4Rn3Po27fbCt4?authuser=0&hl=en&rclk=1,,,, Tulungagung ,phone:tel:081559896532,,,,,,,,,,,,,,,
Aflah vila house,Villa,"3W9R+W4G, Jl. Raya Kedawung, Jatimalang, Kedawung, Kec. Mojo, Kabupaten Kediri, Jawa Timur 64162 ",,"-7.9303604, 111.9404781",https://www.google.com/maps/place/Aflah+vila+house/data=!4m7!3m6!1s0x2e78ffe3ecaf02f9:0x791427a61ce09fab!8m2!3d-7.9303604!4d111.9404781!16s%2Fg%2F11t9lkbsjj!19sChIJ-QKv7OP_eC4Rq5_gHKYnFHk?authuser=0&hl=en&rclk=1,5,1 review,,  Kediri,,,,,,,,,,,,,,,,
Ayom Java Village Solo,,"Jl. Gajahan No. 8 Gajahan Colomadu, Solo, Kabupaten Karanganyar, Jawa Tengah 57176 ",,"-7.5436008, 110.7612845",https://www.google.com/maps/place/Ayom+Java+Village+Solo/data=!4m10!3m9!1s0x2e7a15f43ef0d40f:0x92fa87f1e6f34733!5m2!4m1!1i2!8m2!3d-7.5436008!4d110.7612845!16s%2Fg%2F11fcszs0c5!19sChIJD9TwPvQVei4RM0fz5vGH-pI?authuser=0&hl=en&rclk=1,4.8,"1,145 reviews",,  Karanganyar,phone:tel:02717465757, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Hot tub available  |  Spa available ,http://ayomjavavillage.com/,,,,,,,,,,,,,
Villa Lembah Baliem,Motel,"Jl. Sukodono, Sukodono, Kec. Karangrejo, Kabupaten Tulungagung, Jawa Timur 66253 ",,"-7.996254, 111.9054864",https://www.google.com/maps/place/Villa+Lembah+Baliem/data=!4m7!3m6!1s0x2e78fd58fcc5eae7:0xadbfbc84ee20f3c6!8m2!3d-7.996254!4d111.9054864!16s%2Fg%2F11pz01sc36!19sChIJ5-rF_Fj9eC4RxvMg7oS8v60?authuser=0&hl=en&rclk=1,5,2 reviews,,  Tulungagung,phone:tel:081217411008,,,,,,,,,,,,,,,
Villa Bugis,,"Jl. Drupadi Gg. Cemp. No.14, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.6908704, 115.1646692",https://www.google.com/maps/place/Villa+Bugis/data=!4m7!3m6!1s0x2dd2471f6501694d:0xfc0fd6d138dba4b9!8m2!3d-8.6908704!4d115.1646692!16s%2Fg%2F1tf3lb4x!19sChIJTWkBZR9H0i0RuaTbONHWD_w?authuser=0&hl=en&rclk=1,4.5,53 reviews,,  Badung,phone:tel:03618476760, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly available  |  Kitchens in some rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available ,https://villabugis.com/,,,,,,,,,,,,,
Rumah Rite,Villa,"V333+F52, Area Sawah/Kebun, Banjarejo, Rejotangan, Tulungagung Regency, East Java 66293 ",,"-8.1463653, 112.0528895",https://www.google.com/maps/place/Rumah+Rite/data=!4m7!3m6!1s0x2e78e979b29fc7fb:0x90c7943ba687bd5b!8m2!3d-8.1463653!4d112.0528895!16s%2Fg%2F11sz5d6d62!19sChIJ-8efsnnpeC4RW72HpjuUx5A?authuser=0&hl=en&rclk=1,,,, Tulungagung ,,,,,,,,,,,,,,,,
Villa diia Wonorejo,Villa,"XRM6+VP2, Jl. Raya Waduk Wonorejo, Bantengan, Mulyosari, Kec. Pagerwojo, Kabupaten Tulungagung, Jawa Timur 66262 ",,"-8.0153514, 111.8117799",https://www.google.com/maps/place/Villa+diia+Wonorejo/data=!4m7!3m6!1s0x2e79030b637ff445:0xa5cbc5ab38edd76a!8m2!3d-8.0153514!4d111.8117799!16s%2Fg%2F11rxtccf17!19sChIJRfR_YwsDeS4RatftOKvFy6U?authuser=0&hl=en&rclk=1,5,1 review,,  Tulungagung,,,,,,,,,,,,,,,,
Villa Bugis,,"8576+84W, Gg. Bugis, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.686629, 115.1603319",https://www.google.com/maps/place/Villa+Bugis/data=!4m7!3m6!1s0x2dd247d80c6f5413:0xe4c060af06194f30!8m2!3d-8.686629!4d115.1603319!16s%2Fg%2F11t4dgnnbc!19sChIJE1RvDNhH0i0RME8ZBq9gwOQ?authuser=0&hl=en&rclk=1,,,,  Badung,,,http://www.villabugis.com/,,,,,,,,,,,,,
Villa Adiba NggirLi,Guest house,"Jl. Raya Kedunglurah No.36, Brangkah Wetan, Kedunglurah, Kec. Pogalan, Kabupaten Trenggalek, Jawa Timur 66371 ",,"-8.1115187, 111.7726436",https://www.google.com/maps/place/Villa+Adiba+NggirLi/data=!4m7!3m6!1s0x2e791dbe01367f7d:0x13d489cce60bf250!8m2!3d-8.1115187!4d111.7726436!16s%2Fg%2F11jwcg7dpx!19sChIJfX82Ab4deS4RUPIL5syJ1BM?authuser=0&hl=en&rclk=1,5,5 reviews,,  Trenggalek,,,,,,,,,,,,,,,,
BROMO VILLA By K Villas,Villa,"Gg. Kubu Pesisi No.10A, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.694386, 115.1634269",https://www.google.com/maps/place/BROMO+VILLA+By+K+Villas/data=!4m7!3m6!1s0x2dd2470bcdf8094f:0xbe65d0b5315e055b!8m2!3d-8.694386!4d115.1634269!16s%2Fg%2F11t7szvxwm!19sChIJTwn4zQtH0i0RWwVeMbXQZb4?authuser=0&hl=en&rclk=1,5,2 reviews,,  Badung,phone:tel:081237722749,,https://www.kvillasbali.com/,,,,,,,,,,,,,
Villa ne Dimas,Villa,"4W8R+RRQ, Koripan, Surat, Kec. Mojo, Kabupaten Kediri, Jawa Timur 64162 ",,"-7.8829189, 111.9420991",https://www.google.com/maps/place/Villa+ne+Dimas/data=!4m7!3m6!1s0x2e78ff70ca8d80f5:0x54f6e03ae049aaf8!8m2!3d-7.8829189!4d111.9420991!16s%2Fg%2F11mw8k7tsb!19sChIJ9YCNynD_eC4R-KpJ4Drg9lQ?authuser=0&hl=en&rclk=1,,,,  Kediri,,,,,,,,,,,,,,,,
OWN VILLA,,"Gg. X, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.6658167, 115.151076",https://www.google.com/maps/place/OWN+VILLA/data=!4m7!3m6!1s0x2dd2477067fada31:0xd4bcf06c85587559!8m2!3d-8.6658167!4d115.151076!16s%2Fg%2F11f_s8_zjt!19sChIJMdr6Z3BH0i0RWXVYhWzwvNQ?authuser=0&hl=en&rclk=1,4.4,52 reviews,,  Badung,phone:tel:03614735790, Free Wi-Fi available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Kid-friendly available ,http://www.ownvilla.com/,,,,,,,,,,,,,
The Villas,,"Jalan Tulip L3, Temukus, Kec. Banjar, Kabupaten Buleleng, Nusa Tenggara Bar. 81152 ",,"-8.181384, 114.9817122",https://www.google.com/maps/place/The+Villas/data=!4m7!3m6!1s0x2dd19cb3538becf7:0x75758f7b92ed715b!8m2!3d-8.181384!4d114.9817122!16s%2Fg%2F11cm3l0nhq!19sChIJ9-yLU7Oc0S0RW3HtknuPdXU?authuser=0&hl=en&rclk=1,4.8,32 reviews,,  Buleleng,phone:tel:+61466508857,,,,,,,,,,,,,,,
Ayona Villa,,"Jl. Batu Belig Gg. Bayu No.8, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.670576, 115.1594009",https://www.google.com/maps/place/Ayona+Villa/data=!4m7!3m6!1s0x2dd2479e423d6637:0xce04035dfee8dfb5!8m2!3d-8.670576!4d115.1594009!16s%2Fg%2F11fkpz579v!19sChIJN2Y9Qp5H0i0Rtd_o_l0DBM4?authuser=0&hl=en&rclk=1,4.8,177 reviews, Open 24 hours,  Badung,phone:tel:082122225088, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Room service available  |  Kid-friendly available  |  Airport shuttle available ,http://www.ayonavilla.com/,,,,,,,,,,,,,
Villa AlBaqarah,Lodging,"Albaqara Villa, Krajan, Sidomulyo, Gondang, Tulungagung Regency, East Java 66263 ",,"-8.0729589, 111.8304798",https://www.google.com/maps/place/Villa+AlBaqarah/data=!4m7!3m6!1s0x2e791dba889826ef:0x80f19d5dcd416ce3!8m2!3d-8.0729589!4d111.8304798!16s%2Fg%2F11h4qd0k6j!19sChIJ7yaYiLodeS4R42xBzV2d8YA?authuser=0&hl=en&rclk=1,4.2,5 reviews,, Tulungagung ,,,,,,,,,,,,,,,,
Rumah mbah jawa,Villa,"V3J7+WFG, National Rte 3, Ariyoblitar, Ariyojeding, Rejotangan, Tulungagung Regency, East Java 66293 ",,"-8.1176781, 112.0636914",https://www.google.com/maps/place/Rumah+mbah+jawa/data=!4m7!3m6!1s0x2e78e9d184df3435:0xcdb719494d8d5cbe!8m2!3d-8.1176781!4d112.0636914!16s%2Fg%2F11swqqhl_4!19sChIJNTTfhNHpeC4RvlyNTUkZt80?authuser=0&hl=en&rclk=1,,,, Tulungagung ,,,,,,,,,,,,,,,,
Pak Din,Villa,"VX3G+247, Banjaran, Domasan, Kalidawir, Tulungagung Regency, East Java 66281 ",,"-8.1474744, 111.9752952",https://www.google.com/maps/place/Pak+Din/data=!4m7!3m6!1s0x2e78e7c7b3c29caf:0x61439e0a7a8a876b!8m2!3d-8.1474744!4d111.9752952!16s%2Fg%2F11r4lzq27n!19sChIJr5zCs8fneC4Ra4eKegqeQ2E?authuser=0&hl=en&rclk=1,,, Open 24 hours, Tulungagung ,,,,,,,,,,,,,,,,
RUMAH+KOST FERI,Villa,"rt 2,rw 2, Lingkungan 8, Ngunut, Kec. Ngunut, Kabupaten Tulungagung, Jawa Timur 66292 ",,"-8.1031372, 112.0053121",https://www.google.com/maps/place/RUMAH%2BKOST+FERI/data=!4m7!3m6!1s0x2e78e5c5799943c7:0xaa15249723f0e8d0!8m2!3d-8.1031372!4d112.0053121!16s%2Fg%2F11s3xhl8m8!19sChIJx0OZecXleC4R0OjwI5ckFao?authuser=0&hl=en&rclk=1,5,1 review, 9AM to 5PM,  Tulungagung,phone:tel:081235646799,,,,,,,,,,,,,,,
Omae arga,Villa,"XVG9+P97, Dusun Ngledok, Bungur, Kec. Karangrejo, Kabupaten Tulungagung, Jawa Timur ",,"-8.0232175, 111.8684115",https://www.google.com/maps/place/Omae+arga/data=!4m7!3m6!1s0x2e78fd5fde9bd481:0x9dc80d3bd251975b!8m2!3d-8.0232175!4d111.8684115!16s%2Fg%2F11jt2sknkl!19sChIJgdSb3l_9eC4RW5dR0jsNyJ0?authuser=0&hl=en&rclk=1,,,,  Tulungagung,,,,,,,,,,,,,,,,
Agro Toyoaji,Homestay,"Wedi Kidul, Wedi, Kapas, Bojonegoro Regency, East Java 62181 ",,"-7.1911865, 111.8891191",https://www.google.com/maps/place/Agro+Toyoaji/data=!4m7!3m6!1s0x2e77804ce429ea37:0x27c8c5367b8f1c35!8m2!3d-7.1911865!4d111.8891191!16s%2Fg%2F11f04dx0j6!19sChIJN-op5EyAdy4RNRyPezbFyCc?authuser=0&hl=en&rclk=1,4.2,104 reviews,, Bojonegoro ,phone:tel:081511081483,,https://agrotoyoaji.business.site/?utm_source=gmb&utm_medium=referral,,,,,,,,,,,,,
"Villa Risfi Kedoyo, Sendang",Villa,"2RW9+PW4, Tanggung, Kedoyo, Kec. Sendang, Kabupaten Tulungagung, Jawa Timur 66254 ",,"-7.9532427, 111.8198263","https://www.google.com/maps/place/Villa+Risfi+Kedoyo,+Sendang/data=!4m7!3m6!1s0x2e7901c60995a02d:0x1a01a1feabafb20d!8m2!3d-7.9532427!4d111.8198263!16s%2Fg%2F11llgdbkxs!19sChIJLaCVCcYBeS4RDbKvq_6hARo?authuser=0&hl=en&rclk=1",5,1 review,,  Tulungagung,,,,,,,,,,,,,,,,
Irfan burhani,Villa,"2344+Q84, Kepuhrejo, Bendorejo, Kec. Udanawu, Kabupaten Blitar, Jawa Timur 66154 ",,"-7.9931148, 112.0558188",https://www.google.com/maps/place/Irfan+burhani/data=!4m7!3m6!1s0x2e78f109d09fd727:0x3799d253cebdd1a4!8m2!3d-7.9931148!4d112.0558188!16s%2Fg%2F11p094tlxk!19sChIJJ9ef0AnxeC4RpNG9zlPSmTc?authuser=0&hl=en&rclk=1,,,,  Blitar,,,,,,,,,,,,,,,,
Villa MAC Tulungagung,Housing complex,"Jl. Raya Balerojo No.52, Balerejo, Kec. Kauman, Kabupaten Tulungagung, Jawa Timur 66261 ",,"-8.0620721, 111.8722945",https://www.google.com/maps/place/Villa+MAC+Tulungagung/data=!4m7!3m6!1s0x2e78e3176a76ea8f:0x890d4e46855319f1!8m2!3d-8.0620721!4d111.8722945!16s%2Fg%2F11t6tdvg5l!19sChIJj-p2ahfjeC4R8RlThUZODYk?authuser=0&hl=en&rclk=1,,,,  Tulungagung,,,,,,,,,,,,,,,,
Omah O'ris,Villa,"423X+3WP, Jl. Ngemplak 1, Sidorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62315 ",,"-6.8972778, 112.0498302",https://www.google.com/maps/place/Omah+O'ris/data=!4m7!3m6!1s0x2e77bd587d47ae7b:0x694f8580a84134ee!8m2!3d-6.8972778!4d112.0498302!16s%2Fg%2F11q22xrh8g!19sChIJe65HfVi9dy4R7jRBqICFT2k?authuser=0&hl=en&rclk=1,5,2 reviews,,  Tuban,,,,,,,,,,,,,,,,
Graha Indah Al Falah,Villa,"422Q+G26, Unnamed Road, Kembangbilo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62314 ",,"-6.8987179, 112.0375022",https://www.google.com/maps/place/Graha+Indah+Al+Falah/data=!4m7!3m6!1s0x2e77a3d7cf339741:0x846039f936689ef3!8m2!3d-6.8987179!4d112.0375022!16s%2Fg%2F11h6t_d3dp!19sChIJQZczz9ejdy4R855oNvk5YIQ?authuser=0&hl=en&rclk=1,4.5,4 reviews,,  Tuban,,,,,,,,,,,,,,,,
Villa Gemah View,Villa,"PQM9+QX6, Pantai gemah, Soireng, Keboireng, Besuki, Tulungagung Regency, East Java 66275 ",,"-8.2655977, 111.769906",https://www.google.com/maps/place/Villa+Gemah+View/data=!4m7!3m6!1s0x2e7921acd31dde87:0xceff2e564b147f3d!8m2!3d-8.2655977!4d111.769906!16s%2Fg%2F11h0669h3f!19sChIJh94d06wheS4RPX8US1Yu_84?authuser=0&hl=en&rclk=1,4.4,7 reviews,, Tulungagung ,phone:tel:081331417688,,,,,,,,,,,,,,,
Abi Budi,Villa,"Jl. Asrama H. 3 No.2, Sidorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62314 ",,"-6.9007108, 112.0407461",https://www.google.com/maps/place/Abi+Budi/data=!4m7!3m6!1s0x2e779926308ccef9:0xfd53e0cf8938b1c1!8m2!3d-6.9007108!4d112.0407461!16s%2Fg%2F11jvqqn12x!19sChIJ-c6MMCaZdy4RwbE4ic_gU_0?authuser=0&hl=en&rclk=1,5,1 review,,  Tuban,,,,,,,,,,,,,,,,
Rumah,Villa,"Masjid Baitturahman, Gg. Ngabar Belakang, RT.02/RW.02, Jarkali, Gedongombo, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62381 ",,"-6.9077488, 112.063725",https://www.google.com/maps/place/Rumah/data=!4m7!3m6!1s0x2e7797b15d448fdf:0xb3b83e4f8bf30294!8m2!3d-6.9077488!4d112.063725!16s%2Fg%2F11t8b4d0rl!19sChIJ349EXbGXdy4RlALzi08-uLM?authuser=0&hl=en&rclk=1,,,,  Tuban,,,,,,,,,,,,,,,,
Fendy,Villa,"Gg. 2 No.81, Sembung, Kec. Tulungagung, Kabupaten Tulungagung, Jawa Timur 66219 ",,"-8.060573, 111.893088",https://www.google.com/maps/place/Fendy/data=!4m7!3m6!1s0x2e78e36e8c15414d:0x4fecb34e1bf12cc7!8m2!3d-8.060573!4d111.893088!16s%2Fg%2F11q2__0vq3!19sChIJTUEVjG7jeC4RxyzxG06z7E8?authuser=0&hl=en&rclk=1,,,,  Tulungagung,,,,,,,,,,,,,,,,
Bali Rich Villa Tuban,,"Jl. Dr. Sutomo No.20, Kingking, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62313 ",,"-6.8930797, 112.0544562",https://www.google.com/maps/place/Bali+Rich+Villa+Tuban/data=!4m10!3m9!1s0x2e77bd53da337aa3:0x6bff4674beff5c61!5m2!4m1!1i2!8m2!3d-6.8930797!4d112.0544562!16s%2Fg%2F11b6d408lp!19sChIJo3oz2lO9dy4RYVz_vnRG_2s?authuser=0&hl=en&rclk=1,4,252 reviews,,  Tuban,phone:tel:0356320999, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool available  |  Air-conditioned available  |  Laundry service available  |  Kid-friendly available  |  Restaurant available  |  Kitchens in some rooms available ,http://www.balirichtuban.com/,,,,,,,,,,,,,
VILLA RONGGOLAWE MAS PRAS,Housing development,"Sawahan, Tegalagung, Semanding, Tuban Regency, East Java 62381 ",,"-6.9068054, 112.0389674",https://www.google.com/maps/place/VILLA+RONGGOLAWE+MAS+PRAS/data=!4m7!3m6!1s0x2e7799bb2b5cac8f:0xd5b3c969d2fda916!8m2!3d-6.9068054!4d112.0389674!16s%2Fg%2F11rgpjzxhp!19sChIJj6xcK7uZdy4RFqn90mnJs9U?authuser=0&hl=en&rclk=1,5,3 reviews, Open 24 hours, Tuban ,,,,,,,,,,,,,,,,
Penginapan GRIYA INDAH,Villa,"Jl. Pramuka I No.24, Sidorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62315 ",,"-6.8990794, 112.049721",https://www.google.com/maps/place/Penginapan+GRIYA+INDAH/data=!4m7!3m6!1s0x2e77bd88f5fe5dcd:0x59b8d75e2f787333!8m2!3d-6.8990794!4d112.049721!16s%2Fg%2F11t2z16rhk!19sChIJzV3-9Yi9dy4RM3N4L17XuFk?authuser=0&hl=en&rclk=1,,,,  Tuban,,,,,,,,,,,,,,,,
Mak Aminah Home,Villa,"RQFX+2FH, Jl. Utomo, Utomo, Sambitan, Kec. Pakel, Kabupaten Tulungagung, Jawa Timur 66273 ",,"-8.1774393, 111.7987218",https://www.google.com/maps/place/Mak+Aminah+Home/data=!4m7!3m6!1s0x2e791f3bff3ec66b:0x35fcb78163afd2ed!8m2!3d-8.1774393!4d111.7987218!16s%2Fg%2F11qzt_krqx!19sChIJa8Y-_zsfeS4R7dKvY4G3_DU?authuser=0&hl=en&rclk=1,3,1 review,,  Tulungagung,,,,,,,,,,,,,,,,
Umar family,Villa,"Jl. Mondokan Raya No.20, Dusun Mawot, Mondokan, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62319 ",,"-6.8897064, 112.0239176",https://www.google.com/maps/place/Umar+family/data=!4m7!3m6!1s0x2e77a3add7a1b331:0x884413a7382d79a9!8m2!3d-6.8897064!4d112.0239176!16s%2Fg%2F11mqkd0frb!19sChIJMbOh162jdy4RqXktOKcTRIg?authuser=0&hl=en&rclk=1,,,,  Tuban,,,,,,,,,,,,,,,,
Omah Merik,Villa,"Perumahan Absolute Place, Krajan, Karang, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62315 ",,"-6.9060596, 112.0520912",https://www.google.com/maps/place/Omah+Merik/data=!4m7!3m6!1s0x2e779719267e8391:0xe15f4cbaa3027827!8m2!3d-6.9060596!4d112.0520912!16s%2Fg%2F11rz98fs_x!19sChIJkYN-JhmXdy4RJ3gCo7pMX-E?authuser=0&hl=en&rclk=1,5,1 review,,  Tuban,,,,,,,,,,,,,,,,
Griya Goa Akbar,Villa,"Jl. Goa Akbar No.13, Jarkali, Gedongombo, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62317 ",,"-6.9051482, 112.061578",https://www.google.com/maps/place/Griya+Goa+Akbar/data=!4m7!3m6!1s0x2e7797aed65cece1:0xf55d45d981b13322!8m2!3d-6.9051482!4d112.061578!16s%2Fg%2F11qqhtg17j!19sChIJ4exc1q6Xdy4RIjOxgdlFXfU?authuser=0&hl=en&rclk=1,5,1 review,,  Tuban,,,,,,,,,,,,,,,,
Villa Skyview by RUMAHKITA,Housing development,"32QR+X7F, Sawahan, Dukoh, Tegalagung, Semanding, Tuban Regency, East Java 62381 ",,"-6.9100527, 112.0406653",https://www.google.com/maps/place/Villa+Skyview+by+RUMAHKITA/data=!4m7!3m6!1s0x2e77994d3a491c17:0xbe41ee1c4e0dea59!8m2!3d-6.9100527!4d112.0406653!16s%2Fg%2F11rpb7mfvq!19sChIJFxxJOk2Zdy4RWeoNThzuQb4?authuser=0&hl=en&rclk=1,,,, Tuban ,,,,,,,,,,,,,,,,
Kingdom MJP,Villa,"RT 1, RW 2,Dsn mindi, Ngebong, Kec. Pakel, Kabupaten Tulungagung, Jawa Timur 66273 ",,"-8.1571288, 111.8337822",https://www.google.com/maps/place/Kingdom+MJP/data=!4m7!3m6!1s0x2e791f38e1d1ca13:0x523e980da3847280!8m2!3d-8.1571288!4d111.8337822!16s%2Fg%2F11q3ddxhgp!19sChIJE8rR4TgfeS4RgHKEow2YPlI?authuser=0&hl=en&rclk=1,2,1 review, Closed,  Tulungagung,phone:tel:08995536897,,,,,,,,,,,,,,,
RUMAH BU WIWIT,Villa,"33R5+RF2, Jarkali, Gedongombo, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62381 ",,"-6.9079838, 112.0586363",https://www.google.com/maps/place/RUMAH+BU+WIWIT/data=!4m7!3m6!1s0x2e77978492e6fbc5:0xdc5855097f3ae3cc!8m2!3d-6.9079838!4d112.0586363!16s%2Fg%2F11rr0_xmgv!19sChIJxfvmkoSXdy4RzOM6fwlVWNw?authuser=0&hl=en&rclk=1,,,,  Tuban,,,,,,,,,,,,,,,,
Lemah Persel,Villa,"QX4C+GCJ, Kaligede, Panggungkalak, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur ",,"-8.2436528, 111.9710107",https://www.google.com/maps/place/Lemah+Persel/data=!4m7!3m6!1s0x2e78ddb9b67131d3:0x3dd6bab51f052547!8m2!3d-8.2436528!4d111.9710107!16s%2Fg%2F11s47g0ks0!19sChIJ0zFxtrndeC4RRyUFH7W61j0?authuser=0&hl=en&rclk=1,,, Open 24 hours,  Tulungagung,,,,,,,,,,,,,,,,
Rumah PJ,Villa,"Jl. Pahlawan Gang Bogor Kerep No.2, Wire, Gedongombo, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62381 ",,"-6.9078902, 112.0738439",https://www.google.com/maps/place/Rumah+PJ/data=!4m7!3m6!1s0x2e7797ff3169927b:0x2d36c499e29bf200!8m2!3d-6.9078902!4d112.0738439!16s%2Fg%2F11qbpxgcg3!19sChIJe5JpMf-Xdy4RAPKb4pnENi0?authuser=0&hl=en&rclk=1,5,1 review, 7AM to 8PM,  Tuban,phone:tel:0895378388833,,,,,,,,,,,,,,,
Perumahan Villa Satwika,Townhouse complex,"Jl. Ki Mangun Sarkoro, Dusun Krajan, Tanggung, Kec. Boyolangu, Kabupaten Tulungagung, Jawa Timur 66233 ",,"-8.088144, 111.90062",https://www.google.com/maps/place/Perumahan+Villa+Satwika/data=!4m7!3m6!1s0x2e78e3309fbc5819:0xf67d6f191fbfb47b!8m2!3d-8.088144!4d111.90062!16s%2Fg%2F11g0kh8_g9!19sChIJGVi8nzDjeC4Re7S_HxlvffY?authuser=0&hl=en&rclk=1,4.5,44 reviews,,  Tulungagung,,,,,,,,,,,,,,,,
