title,review_point,review_total,address,site,contact_number,check_in,check_out,metadata,amenities,coordinate,regency,link,sub_category,price_level,open_hours,about
RedDoorz Plus @ Grand Populer Hotel,4.0,82 reviews,"Jl. Sulawesi No.30, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174 ",https://www.reddoorz.com/id-id/hotel/indonesia/makassar/pattunuang/nusantara/reddoorz-plus-near-karebosi-area?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,phone:tel:02180629666,,,, Free Wi-Fi available  |  Pool unavailable  |  Laundry service available  |  Kid-friendly available ,"-5.1312422, 119.4067088",  Makassar,https://www.google.com/maps/place/RedDoorz+Plus+@+Grand+Populer+Hotel/data=!4m10!3m9!1s0x2dbf02a4d3d27897:0xe2161e2d99a54959!5m2!4m1!1i2!8m2!3d-5.1312422!4d119.4067088!16s%2Fg%2F11f3zzcrjy!19sChIJl3jS06QCvy0RWUmlmS0eFuI?authuser=0&hl=en&rclk=1,,,,
NamaStay,4.7,59 reviews,"Jl. Premasanti No.14, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571 ",http://www.staynamastay.com/,phone:tel:03619080842,,,, Free Wi-Fi available  |  Free breakfast available  |  Pool unavailable  |  Laundry service available  |  Kid-friendly available  |  Airport shuttle available ,"-8.524445, 115.2623405",  Gianyar,https://www.google.com/maps/place/NamaStay/data=!4m10!3m9!1s0x2dd23d75720d3b95:0xa9ce68a697b3e013!5m2!4m1!1i2!8m2!3d-8.524445!4d115.2623405!16s%2Fg%2F11f3wk_s3x!19sChIJlTsNcnU90i0RE-Czl6Zozqk?authuser=0&hl=en&rclk=1,,,,
Cilacap guesthouse,4.3,124 reviews,"Jl. Gatot Subroto, Rejamulya, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53211 ",,phone:tel:08567626208,,,, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly available  |  Room service available  |  Kid-friendly available  |  Restaurant unavailable  |  Kitchens in some rooms available  |  Smoke-free unavailable ,"-7.7022541, 109.0245196",  Cilacap,https://www.google.com/maps/place/Cilacap+guesthouse/data=!4m10!3m9!1s0x2e6512c816a77d75:0xde024bf6fb6c3f48!5m2!4m1!1i2!8m2!3d-7.7022541!4d109.0245196!16s%2Fg%2F11ggr3s326!19sChIJdX2nFsgSZS4RSD9s-_ZLAt4?authuser=0&hl=en&rclk=1,,,,
Hotel Alia Heritage Pasar Baru,4.2,"1,410 reviews","Jl. Pasar Baru Selatan No.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 ",https://hotelaliaheritage.com/,phone:tel:0213450280,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available ,"-6.164873, 106.835429",  Jakarta Pusat,https://www.google.com/maps/place/Hotel+Alia+Heritage+Pasar+Baru/data=!4m10!3m9!1s0x2e69f542b907ab7f:0xb7ba08d2d374ee22!5m2!4m1!1i2!8m2!3d-6.164873!4d106.835429!16s%2Fg%2F11mvp6gvvq!19sChIJf6sHuUL1aS4RIu5009IIurc?authuser=0&hl=en&rclk=1,,,,
OYO 921 Hotel Ratu Pantai,2.9,200 reviews,"Jl. Cimarinjung, Ciwaru, Kec. Ciemas, Kabupaten Sukabumi, Jawa Barat 43177 ",https://www.oyorooms.com/h/58462/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_SBI005&latitude=-7.1851145&longitude=106.4576957&locale=id,phone:tel:02129707601,,,, Pool available  |  Air-conditioned available  |  Pet-friendly unavailable  |  Beach access available  |  Kid-friendly available  |  Airport shuttle unavailable ,"-7.1851898, 106.4577294",  Sukabumi,https://www.google.com/maps/place/OYO+921+Hotel+Ratu+Pantai/data=!4m10!3m9!1s0x2e42a147d52d99d5:0x8033ee8b55198c4f!5m2!4m1!1i2!8m2!3d-7.1851898!4d106.4577294!16s%2Fg%2F11h4nd27j9!19sChIJ1Zkt1UehQi4RT4wZVYvuM4A?authuser=0&hl=en&rclk=1,,,,
OYO 1456 Hotel Garuda,3.0,192 reviews,"Jl. Garuda No.45, Bandar Jaya Tim., Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163 ",https://www.oyorooms.com/ID/79421/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_LPG027&latitude=-4.94005113618257&longitude=105.212219841778&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available ,"-4.9402626, 105.2120627",  Lampung Tengah,https://www.google.com/maps/place/OYO+1456+Hotel+Garuda/data=!4m10!3m9!1s0x2e40a89915ebd821:0x44fb7b8561d18f0d!5m2!4m1!1i2!8m2!3d-4.9402626!4d105.2120627!16s%2Fg%2F11bxd_4trk!19sChIJIdjrFZmoQC4RDY_RYYV7-0Q?authuser=0&hl=en&rclk=1,,,,
Marilyn Hotel Serpong,4.0,"1,205 reviews","Jl. Raya Serpong No.1, Pakulonan, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15325 ",http://www.hotelmarilynserpong.com/,phone:tel:02153123988,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Smoke-free unavailable ,"-6.2481918, 106.6493835",  Tangerang Selatan,https://www.google.com/maps/place/Marilyn+Hotel+Serpong/data=!4m10!3m9!1s0x2e69fb9433b463ed:0x75af3b8af6d1036a!5m2!4m1!1i2!8m2!3d-6.2481918!4d106.6493835!16s%2Fg%2F11b90hrx56!19sChIJ7WO0M5T7aS4RagPR9oo7r3U?authuser=0&hl=en&rclk=1,,,,
Sartini Inn Jogja,3.8,115 reviews,"Jl. K.H. Muhdi No.63, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 ",http://sartiniinn.com/,phone:tel:08112654163,,,, Free Wi-Fi available  |  Free parking available  |  Outdoor pool available  |  Fitness center unavailable  |  Smoke-free available ,"-7.7811183, 110.4226606",  Sleman,https://www.google.com/maps/place/Sartini+Inn+Jogja/data=!4m10!3m9!1s0x2e7a59f51bcb6a97:0x6b278660816e31e6!5m2!4m1!1i2!8m2!3d-7.7811183!4d110.4226606!16s%2Fg%2F11pxwwq443!19sChIJl2rLG_VZei4R5jFugWCGJ2s?authuser=0&hl=en&rclk=1,,,,
Winstar Hotel Pekanbaru,3.9,932 reviews,"Jl. Moh. Ali No.118, Padang Terubuk, Kec. Senapelan, Kota Pekanbaru, Riau 28155 ",http://www.winstar-hotel.com/,phone:tel:076123588,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available ,"0.532622, 101.4416403",  Pekanbaru,https://www.google.com/maps/place/Winstar+Hotel+Pekanbaru/data=!4m10!3m9!1s0x31d5ac0ce88b40cb:0x4ec1804a681a518!5m2!4m1!1i2!8m2!3d0.532622!4d101.4416403!16s%2Fg%2F12qfvg6rf!19sChIJy0CL6Ays1TERGKWBpgQY7AQ?authuser=0&hl=en&rclk=1,,,,
SPOT ON 1971 Hotel Dewi,3.3,507 reviews,"Jl. Cemp. No.20, Babatan, Kepuhkembeng, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419 ",https://www.oyorooms.com/h/86457/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_JMG001&latitude=-7.534207&longitude=112.250898&locale=id,phone:tel:02129707601,,,, Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable ,"-7.5342084, 112.2508956",  Jombang,https://www.google.com/maps/place/SPOT+ON+1971+Hotel+Dewi/data=!4m10!3m9!1s0x2e78154d5d0afddd:0x6567b78a9a328847!5m2!4m1!1i2!8m2!3d-7.5342084!4d112.2508956!16s%2Fg%2F11b7cg8f_b!19sChIJ3f0KXU0VeC4RR4gymoq3Z2U?authuser=0&hl=en&rclk=1,,,,
Manhattan Hotel Jakarta,4.3,"6,414 reviews","Jl. Prof. DR. Satrio No.Kav.19-24, RT.7/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 ",https://hotel-manhattan.com/,phone:tel:02130040888,,,, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available  |  Bar available  |  Smoke-free unavailable ,"-6.2252344, 106.8313176",  Jakarta Selatan,https://www.google.com/maps/place/Manhattan+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f3f05cf869c5:0x54fd31f2806946cb!5m2!4m1!1i2!8m2!3d-6.2252344!4d106.8313176!16s%2Fg%2F1tj5hl1s!19sChIJxWn4XPDzaS4Ry0ZpgPIx_VQ?authuser=0&hl=en&rclk=1,,,,
Berlian Inn,4.1,150 reviews,"Jalan Poppies 1, Gang Sorga, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361 ",https://berlianinn.id-indonesia.com/,phone:tel:0361751501,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Beach access available  |  Kid-friendly available  |  Airport shuttle unavailable ,"-8.7195599, 115.1713255",  Badung,https://www.google.com/maps/place/Berlian+Inn/data=!4m10!3m9!1s0x2dd246bc141e1e1f:0xe712761a2afd597!5m2!4m1!1i2!8m2!3d-8.7195599!4d115.1713255!16s%2Fg%2F1td2qd0s!19sChIJHx4eFLxG0i0Rl9WvomEncQ4?authuser=0&hl=en&rclk=1,,,,
Ameera Inn,4.1,123 reviews,"9, Jl. Jaya Mandala I No.14, RW.1, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870 ",https://www.tiket.com/hotel/indonesia/ameera-inn-patra-kuningan-403001616992220544,phone:tel:083819338999,,,, Free Wi-Fi available  |  Paid breakfast available  |  Parking unavailable  |  Accessible unavailable  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available  |  Fitness center unavailable  |  Smoke-free available ,"-6.2393629, 106.8378687",  Jakarta Selatan,https://www.google.com/maps/place/Ameera+Inn/data=!4m10!3m9!1s0x2e69f3da98505d9d:0xa6b9c7317f5bda1e!5m2!4m1!1i2!8m2!3d-6.2393629!4d106.8378687!16s%2Fg%2F11q_jn6ncg!19sChIJnV1QmNrzaS4RHtpbfzHHuaY?authuser=0&hl=en&rclk=1,,,,
Thalia Homestay,4.6,66 reviews,"Jl. Prambanan No.25, Taman Baru, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416 ",https://thalia-homestay.business.site/?utm_source=gmb&utm_medium=referral,phone:tel:08123128077,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-8.2187173, 114.3644946",  Banyuwangi,https://www.google.com/maps/place/Thalia+Homestay/data=!4m10!3m9!1s0x2dd14533850d690f:0x3b7deb1179a437e7!5m2!4m1!1i2!8m2!3d-8.2187173!4d114.3644946!16s%2Fg%2F11fy0ng1s6!19sChIJD2kNhTNF0S0R5zekeRHrfTs?authuser=0&hl=en&rclk=1,,,,
Hotel SiCantik,4.6,8 reviews,"Jl. Malangyudo No.107, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582 ",http://hotelsicantik-bke.zoombookdirect.com/,phone:tel:089630630022,,,, Wi-Fi unavailable  |  Breakfast unavailable  |  Free parking available  |  Accessible unavailable  |  Pool unavailable  |  Air-conditioned unavailable  |  Business center unavailable  |  Pet-friendly unavailable  |  Restaurant unavailable  |  Airport shuttle unavailable  |  Fitness center unavailable  |  Smoke-free available ,"-7.5960701, 110.4298991",  Sleman,https://www.google.com/maps/place/Hotel+SiCantik/data=!4m10!3m9!1s0x2e7a672da348900f:0xdcc3fe42f54a051f!5m2!4m1!1i2!8m2!3d-7.5960701!4d110.4298991!16s%2Fg%2F1pzrw8brh!19sChIJD5BIoy1nei4RHwVK9UL-w9w?authuser=0&hl=en&rclk=1,,,,
OYO 90822 Hotel Taman Wisata,3.5,112 reviews,"Jl. Nangka No.98A, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231 ",https://www.oyorooms.com/h/163549?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLI305&latitude=-8.63730017068261&longitude=115.222885552794&locale=id,phone:tel:0361236015,,,, Free Wi-Fi available  |  Parking available  |  Pool unavailable  |  Kid-friendly available ,"-8.6372976, 115.2229538",  Denpasar,https://www.google.com/maps/place/OYO+90822+Hotel+Taman+Wisata/data=!4m10!3m9!1s0x2dd23f6fb68b642d:0x5984a4f96d2596bf!5m2!4m1!1i2!8m2!3d-8.6372976!4d115.2229538!16s%2Fg%2F1tcwbt27!19sChIJLWSLtm8_0i0Rv5YlbfmkhFk?authuser=0&hl=en&rclk=1,,,,
Expressia Hotel Makassar,4.3,585 reviews,"Jl. Penghibur No.6-7, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174 ",http://www.expressiahotels.com/,phone:tel:04113611123,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Beach access available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-5.138939, 119.40606",  Makassar,https://www.google.com/maps/place/Expressia+Hotel+Makassar/data=!4m10!3m9!1s0x2dbf02b2065e529b:0x605e753cf377af5d!5m2!4m1!1i2!8m2!3d-5.138939!4d119.40606!16s%2Fg%2F11c4bfn6rx!19sChIJm1JeBrICvy0RXa938zx1XmA?authuser=0&hl=en&rclk=1,,,,
OYO 1541 Puri Cikole Asri,3.3,140 reviews,"Jl. Raya Tangkuban Parahu No.10, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391 ",https://www.oyorooms.com/ID/80419/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_KBB004&latitude=-6.79748327383869&longitude=107.652674987912&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.7982468, 107.6530568",  Bandung Barat,https://www.google.com/maps/place/OYO+1541+Puri+Cikole+Asri/data=!4m10!3m9!1s0x2e68e064732f64fb:0x597756d26852de40!5m2!4m1!1i2!8m2!3d-6.7982468!4d107.6530568!16s%2Fg%2F11j0cllbsx!19sChIJ-2Qvc2TgaC4RQN5SaNJWd1k?authuser=0&hl=en&rclk=1,,,,
Grand Hotel,3.6,381 reviews,"Jl. I Gusti Ngurah Rai No.26, Bago, Kec. Tulungagung, Kabupaten Tulungagung, Jawa Timur 66218 ",http://www.grandhotel.com/,,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable ,"-8.0671418, 111.9071487",  Tulungagung,https://www.google.com/maps/place/Grand+Hotel/data=!4m10!3m9!1s0x2e78e31e5bd682d1:0x4ca1cb2c67c51d58!5m2!4m1!1i2!8m2!3d-8.0671418!4d111.9071487!16s%2Fg%2F1hm3k2gzd!19sChIJ0YLWWx7jeC4RWB3FZyzLoUw?authuser=0&hl=en&rclk=1,,,,
OYO 3811 Best Inn Hotel,3.9,523 reviews,"Jalan Hayam Wuruk.1RQ-1RR RT.7, RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 ",https://www.oyorooms.com/h/104281/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_JKT363&latitude=-6.16594796757&longitude=106.821342744&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly available  |  Kid-friendly available  |  Kitchen in all rooms available ,"-6.1657882, 106.8213061",  Jakarta Pusat,https://www.google.com/maps/place/OYO+3811+Best+Inn+Hotel/data=!4m10!3m9!1s0x2e69f5d9d0d86cc7:0xceec4663a534df66!5m2!4m1!1i2!8m2!3d-6.1657882!4d106.8213061!16s%2Fg%2F11bymtf913!19sChIJx2zY0Nn1aS4RZt80pWNG7M4?authuser=0&hl=en&rclk=1,,,,
Sheraton Surabaya Hotel & Towers,4.7,"11,498 reviews","Jl. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Kota SBY, Jawa Timur 60261 ",https://www.marriott.com/en-us/hotels/subsi-sheraton-surabaya-hotel-and-towers/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,phone:tel:062315468000,,,, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Kitchens in some rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available  |  Golf course available  |  Bar available  |  Smoke-free unavailable ,"-7.2627367, 112.7380756",  SBY,https://www.google.com/maps/place/Sheraton+Surabaya+Hotel+%26+Towers/data=!4m10!3m9!1s0x2dd7f95d8d585dff:0x8eb808da01602d4!5m2!4m1!1i2!8m2!3d-7.2627367!4d112.7380756!16s%2Fg%2F1txd6mjn!19sChIJ_11YjV351y0R1AIWoI2A6wg?authuser=0&hl=en&rclk=1,,,,
Best Inn Hotel Balikpapan,4.1,674 reviews,"Jalan MT.Haryono No. 77, Batu Ampar, Balikpapan Utara, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114 ",,phone:tel:05428510800,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available ,"-1.2463801, 116.8714694",  Balikpapan,https://www.google.com/maps/place/Best+Inn+Hotel+Balikpapan/data=!4m10!3m9!1s0x2df1489df1e87157:0x2575fda84580f8fc!5m2!4m1!1i2!8m2!3d-1.2463801!4d116.8714694!16s%2Fg%2F11b783lkm0!19sChIJV3Ho8Z1I8S0R_PiARaj9dSU?authuser=0&hl=en&rclk=1,,,,
Ciputra World Hotel Surabaya,4.7,"4,860 reviews","Surabaya Superblock, Ciputra World, Jl. Mayjen Sungkono No.87-89, Gn. Sari, Kec. Dukuhpakis, Kota SBY, Jawa Timur 60224 ",https://www.swiss-belhotel.com/en-gb/hotel-ciputra-world-surabaya?utm_source=socialmedia&utm_campaign=page_view,phone:tel:03151201000,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center unavailable  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available  |  Bar available ,"-7.2923061, 112.7191552",  SBY,https://www.google.com/maps/place/Ciputra+World+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fb8b8c92a465:0x736a9c49dcc2ac42!5m2!4m1!1i2!8m2!3d-7.2923061!4d112.7191552!16s%2Fg%2F11b73jz854!19sChIJZaSSjIv71y0RQqzC3EmcanM?authuser=0&hl=en&rclk=1,,,,
Verse Luxe Hotel Wahid Hasyim,4.2,"2,212 reviews","Jl. KH Wahid Hasyim No.131, RT.9/RW.2, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240 ",http://www.versehotels.com/,phone:tel:0213919040,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.1872915, 106.8214095",  Jakarta Pusat,https://www.google.com/maps/place/Verse+Luxe+Hotel+Wahid+Hasyim/data=!4m10!3m9!1s0x2e69f4262f057a2f:0x8cb723b8843d18cb!5m2!4m1!1i2!8m2!3d-6.1872915!4d106.8214095!16s%2Fg%2F11g6x997_w!19sChIJL3oFLyb0aS4Ryxg9hLgjt4w?authuser=0&hl=en&rclk=1,,,,
Studio Inn & Suites,4.3,"1,044 reviews","Jl. Rinjani No.10D, Bendungan, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50231 ",http://www.studioinnsemarang.com/,phone:tel:02476420088,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-7.001262, 110.4084795",  Semarang,https://www.google.com/maps/place/Studio+Inn+%26+Suites/data=!4m10!3m9!1s0x2e708b6be264ecd5:0xe66f847bd4c6770e!5m2!4m1!1i2!8m2!3d-7.001262!4d110.4084795!16s%2Fg%2F11bv2lls1k!19sChIJ1exk4muLcC4RDnfG1HuEb-Y?authuser=0&hl=en&rclk=1,,,,
RedDoorz Hostel @ Dago 2,4.3,440 reviews,"Jl. Ir. H. Juanda No.294 B, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132 ",https://www.reddoorz.com/id-id/hotel/indonesia/bandung/dago/reddoorz-hostel-dago-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,phone:tel:02180629666,,,, Free Wi-Fi available  |  Free breakfast available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Airport shuttle unavailable ,"-6.8801643, 107.616432",  Bandung,https://www.google.com/maps/place/RedDoorz+Hostel+@+Dago+2/data=!4m10!3m9!1s0x2e68e6fc3f42ccb9:0x5c8da577268a1c1f!5m2!4m1!1i2!8m2!3d-6.8801643!4d107.616432!16s%2Fg%2F11b6d00kmb!19sChIJucxCP_zmaC4RHxyKJneljVw?authuser=0&hl=en&rclk=1,,,,
Hotel Permata Makassar,3.6,387 reviews,"Jl. Andi Tonro No.11 A-C, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223 ",https://www.reddoorz.com/id-id/hotel/indonesia/makassar/kota-makassar/andi-tonro/hotel-permata-makassar?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,phone:tel:02180629666,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Kid-friendly available ,"-5.1718923, 119.4191965",  Makassar,https://www.google.com/maps/place/Hotel+Permata+Makassar/data=!4m10!3m9!1s0x2dbee2828d144dd9:0x4d62372da6aecf4c!5m2!4m1!1i2!8m2!3d-5.1718923!4d119.4191965!16s%2Fg%2F12hrxd2mx!19sChIJ2U0UjYLivi0RTM-upi03Yk0?authuser=0&hl=en&rclk=1,,,,
OYO 90947 Hotel Sarbini,3.9,292 reviews,"Jl.Raya Gunung Sakti Lintas Timur, Menggala Selatan, Menggala, Menggala Sel., Kec. Menggala, Kab. Tulang Bawang, Lampung 34612 ",https://www.oyorooms.com/h/173366?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLG056&latitude=-4.49920205167404&longitude=105.24119021371&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Laundry service available  |  Kid-friendly available ,"-4.4992561, 105.2412033",,https://www.google.com/maps/place/OYO+90947+Hotel+Sarbini/data=!4m10!3m9!1s0x2e3f39eb19a83703:0x82d099cf0f759566!5m2!4m1!1i2!8m2!3d-4.4992561!4d105.2412033!16s%2Fg%2F11cjk4ddml!19sChIJAzeoGes5Py4RZpV1D8-Z0II?authuser=0&hl=en&rclk=1,,,,
OYO 1389 Hotel Carissima,3.9,340 reviews,"Jl. Kapten Anwar Sastro No.1421, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30121 ",https://www.oyorooms.com/h/77452/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_PLB068&latitude=-2.97513863031&longitude=104.749361761&locale=id,phone:tel:02129707601,,,, Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable ,"-2.9751492, 104.7493619",  Palembang,https://www.google.com/maps/place/OYO+1389+Hotel+Carissima/data=!4m10!3m9!1s0x2e3b75dfc967da4d:0x92ce9e199664c4c0!5m2!4m1!1i2!8m2!3d-2.9751492!4d104.7493619!16s%2Fg%2F1wnzc34x!19sChIJTdpnyd91Oy4RwMRklhmezpI?authuser=0&hl=en&rclk=1,,,,
I&M HOTEL,4.4,"1,090 reviews","Jl. Argopuro No.49, Sawahan, Kec. Sawahan, Kota SBY, Jawa Timur 60251 ",http://www.imhotelindonesia.com/,phone:tel:03199248888,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Restaurant available  |  Airport shuttle unavailable ,"-7.2592266, 112.7274651",  SBY,https://www.google.com/maps/place/I%26M+HOTEL/data=!4m10!3m9!1s0x2dd7f95a9c028d83:0x958f6ae0facbbe45!5m2!4m1!1i2!8m2!3d-7.2592266!4d112.7274651!16s%2Fg%2F11fpjg6scd!19sChIJg40CnFr51y0RRb7L-uBqj5U?authuser=0&hl=en&rclk=1,,,,
Sun Island Hotel & Spa Legian,4.2,640 reviews,"Jln Legian No.123, Kuta, Badung Regency, Bali 80361 ",https://www.sunislandbali.com/legian-hotel/,phone:tel:03618469888,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible unavailable  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center unavailable  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center unavailable  |  Bar available  |  Smoke-free unavailable ,"-8.7132637, 115.1735609", Badung ,https://www.google.com/maps/place/Sun+Island+Hotel+%26+Spa+Legian/data=!4m10!3m9!1s0x2dd246c77cfec645:0xd7665fbd89cf181c!5m2!4m1!1i2!8m2!3d-8.7132637!4d115.1735609!16s%2Fg%2F1q2wk7jyg!19sChIJRcb-fMdG0i0RHBjPib1fZtc?authuser=0&hl=en&rclk=1,,,,
